correo_usuario,codigo_agenda,etiqueta,fecha_creacion
LuzvelOesquez@marmol.com,69868,"Salida con Amigos",2025-03-31
Ricardoborrego@marmol.com,65356,"Salida con Amigos",2025-03-31
AnabenavOAdez@edubus.ceele,66017,"Salida con Familia",2025-03-31
veyOear@edubus.cal,67734,Vacaciones,2025-03-31
Sanchogrijalva@wass.com,72032,Aniversario,2025-03-31
JosOoarce@wass.com,68618,"Salida con Familia",2025-03-31
javier7109@edubus.cal,66752,"Salida con Familia",2025-03-31
Miguelcabrera@outluc.com,68397,"Salida con Familia",2025-03-31
grnalo@edubus.cal,70893,"Cena de Trabajo",2025-03-31
Jorgerubio@viajesanma.com,62346,"Cena de Trabajo",2025-03-31
Jorgerubio@viajesanma.ceele,68425,"Salida con Familia",2025-03-31
pilar808@marmol.com,63101,"Cena de Trabajo",2025-03-31
anarnOe@marmol.com,64076,"Cena de Trabajo",2025-03-31
madega@marmol.com,62255,"Cena de Trabajo",2025-03-31
raquel2524@tourket.com,62026,Vacaciones,2025-03-31
guadalupe2405@wass.com,63764,"Salida con Familia",2025-03-31
dolores9456@edubus.cal,63148,"Cena de Trabajo",2025-03-31
Estebangodoy@marmol.com,66003,"Cena de Trabajo",2025-03-31
maeltoal@marmol.com,66492,"Salida con Amigos",2025-03-31
benjamOAn4313@edubus.cal,71022,"Cena de Trabajo",2025-03-31
fegose@viajesanma.com,72190,"Salida con Amigos",2025-03-31
maburu@marmol.com,69211,Aniversario,2025-03-31
AlbertogaitOen@outluc.com,71671,Vacaciones,2025-03-31
rodelo@marmol.com,68271,Vacaciones,2025-03-31
Sra.aparicio@wass.com,71135,"Salida con Familia",2025-03-31
Sr.porras@viajesanma.com,65618,"Cena de Trabajo",2025-03-31
Danielespino@edubus.cal,65776,"Cena de Trabajo",2025-03-31
caloro@marmol.com,65696,Aniversario,2025-03-31
tomacr@edubus.cal,63839,Aniversario,2025-03-31
mapabu@viajesanma.com,69583,"Cena de Trabajo",2025-03-31
viloal@marmol.com,61245,"Salida con Amigos",2025-03-31
virona@marmol.com,66088,Vacaciones,2025-03-31
virona@marmol.ceele,66088,Vacaciones,2025-03-31
eduardo3912@tourket.com,62370,Aniversario,2025-03-31
diego3113@outluc.com,63285,"Cena de Trabajo",2025-03-31
maelsOear@tourket.com,68773,Aniversario,2025-03-31
mayte1926@viajesanma.com,65815,Vacaciones,2025-03-31
srvOAfaro@marmol.com,64980,Aniversario,2025-03-31
srvOAfaro@marmol.ceele,70574,Vacaciones,2025-03-31
startaba@viajesanma.com,70535,"Salida con Familia",2025-03-31
diego3113@outluc.ceele,61346,"Salida con Familia",2025-03-31
Sr.cano@wass.com,68082,"Salida con Amigos",2025-03-31
srerquab@tourket.com,71293,Vacaciones,2025-03-31
Sr.quesada@marmol.com,65464,"Cena de Trabajo",2025-03-31
agbade@tourket.com,61429,Vacaciones,2025-03-31
cOoceig@viajesanma.com,70268,"Salida con Amigos",2025-03-31
Clementemayorga@outluc.com,65972,"Salida con Amigos",2025-03-31
sr.1020@tourket.com,64386,Aniversario,2025-03-31
JorgerodrOAgez@edubus.cal,68895,Vacaciones,2025-03-31
romatOI@marmol.ceele,62035,Aniversario,2025-03-31
jesOUs7266@outluc.com,63894,Vacaciones,2025-03-31
pilar6460@tourket.com,70661,"Salida con Amigos",2025-03-31
javier2171@viajesanma.ceele,69257,Aniversario,2025-03-31
hernOen2484@wass.com,64148,Vacaciones,2025-03-31
hernOen2484@wass.ceele,64448,"Salida con Amigos",2025-03-31
rozahe@wass.com,65308,"Cena de Trabajo",2025-03-31
stjomupe@wass.com,67042,Vacaciones,2025-03-31
sofia1500@tourket.com,62535,"Salida con Amigos",2025-03-31
Sta.pOorez@wass.com,64804,"Cena de Trabajo",2025-03-31
andrOos2663@edubus.cal,65350,Vacaciones,2025-03-31
concepciOIn6445@wass.com,66659,"Cena de Trabajo",2025-03-31
sta.8898@marmol.com,67777,"Salida con Familia",2025-03-31
hugo5745@wass.com,68820,"Cena de Trabajo",2025-03-31
Sr.alva@wass.ceele,67848,Vacaciones,2025-03-31
Sr.alva@wass.com,63085,"Salida con Familia",2025-03-31
sara8578@tourket.com,62246,"Salida con Familia",2025-03-31
rubeci@marmol.com,63578,Aniversario,2025-03-31
claudio745@wass.com,68366,Aniversario,2025-03-31
adcobr@marmol.com,61549,"Salida con Amigos",2025-03-31
AmaliaolivOerez@viajesanma.com,67675,Aniversario,2025-03-31
homepe@viajesanma.com,68938,"Salida con Familia",2025-03-31
Mariomendoza@viajesanma.com,68791,"Cena de Trabajo",2025-03-31
todeju@viajesanma.com,66291,Vacaciones,2025-03-31
sra.4773@edubus.cal,62091,"Salida con Amigos",2025-03-31
