codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,escalas,clase
537613,DOoboraabrego@viajes.cl,35618,Irún,Telde,96,4059,420000,"Turkish Airlines","{Cádiz,Telde,Guadalajara}","Primera clase"
537616,Beatrizcazares@viajes.cl,47943,Telde,Toledo,74,622,29000,EasyJet,{},"Clase ejecutiva"
536196,maduca@viajes.cl,66238,Logroño,Fuenlabrada,77,3574,363000,"Turkish Airlines","{Leganés,Mataró}","Primera clase"
536203,marOAa5411@viajes.cl,22677,Fuenlabrada,"Alcalá de Henares",59,2556,300000,Qantas,"{Barcelona,Elche,Viladecans}","Primera clase"
536218,dogaro@viajes.cl,33665,Motril,Madrid,39,1342,131000,JetBlue,{},"Clase económica"
536238,lourdes7642@viajes.cl,21615,Lorca,Lorca,93,3872,378000,KLM,"{Badajoz,Alcobendas}","Primera clase"
536280,gugugi@viajes.cl,81566,Mataró,Granollers,27,2145,79000,"Ethiopian Airlines",{},"Clase ejecutiva"
536281,EmiliavillagOImez@viajes.cl,89446,Granollers,Elda,54,1203,116000,"Etihad Airways",{},"Clase económica"
536305,JosOoquiroz@viajes.cl,46163,Algeciras,Majadahonda,51,584,89000,Emirates,{},"Clase económica"
536328,cOocoro@viajes.cl,63727,"La Línea de la Concepción",Majadahonda,17,3587,160000,Ryanair,"{Paterna,Burgos}","Primera clase"
536332,marOAa9727@viajes.cl,59373,Majadahonda,PAMPLONA!!!,3,2905,374000,"Copa Airlines","{Majadahonda,""El Prat de LLobregat""}","Clase ejecutiva"
536343,roraho@viajes.ceele,44471,"Talavera de la Reina",Paterna,76,4155,331000,"Wizz Air","{Getafe,Tarrasa,Logroño,Tarragona}","Primera clase"
536344,Rosaliamadrid@viajes.cl,46798,Murcia,"El Puerto de Santa María",50,3368,222000,Iberia,"{""Mollet del Vallés"",Zamora,""La Línea de la Concepción"",Zamora}","Clase ejecutiva"
536347,francisco4064@viajes.cl,59065,"El Puerto de Santa María",Pontevedra,6,2320,88000,"Air Canada",{Valladolid},"Clase ejecutiva"
536379,Sergioramos@viajes.cl,96851,Badajoz,"Jerez de la Frontera",95,3219,280000,Ryanair,"{Fuenlabrada,""Molina de Segura"",Granada}","Clase ejecutiva"
536410,RosariocalderOIn@viajes.cl,21065,Ferrol,Segovia,56,3596,371000,"Air Canada",{Avilés},"Clase ejecutiva"
536460,federico4047@viajes.cl,48876,Alcobendas,"Alcalá de Henares",71,647,68000,"Turkish Airlines",{},"Clase económica"
536470,horacio7455@viajes.cl,52400,Ponferrada,Almería,8,358,71000,Qantas,{},"Clase ejecutiva"
536492,Sta.cruz@viajes.cl,95847,Sagunto,Avilés,23,1304,95000,"Delta Air Lines",{},"Clase económica"
536493,Sra.trejo@viajes.cl,26138,Cuenta,Bilbao,66,3719,397000,"Southwest Airlines","{Irún,León,""Alcalá de Guadaira""}","Primera clase"
536508,Sta.vOolez@viajes.cl,96439,Telde,Málaga,24,2642,240000,"American Airlines",{Leganés},"Clase ejecutiva"
536509,cldeca@viajes.cl,71902,Málaga,ARRECIFE!!!,30,2024,197000,"British Airways","{Fuengirola,Sevilla}","Clase ejecutiva"
536513,Sr.nieves@viajes.cl,11986,Arrecife,Gandía,46,142,78000,KLM,{},"Clase económica"
536567,sr.3517@viajes.cl,9292,Ponferrada,"La Línea de la Concepción",13,1112,144000,WestJet,{},"Clase económica"
536569,alguor@viajes.cl,67997,"Ciudad Real",Valencia,90,231,89000,Qantas,{},"Clase económica"
536629,srmamioj@viajes.cl,96014,Cartagena,Cuenta,61,2717,80000,"Southwest Airlines","{""San Sebastián"",Calahorra}","Primera clase"
536630,josOo8194@viajes.cl,4209,Gijón,Oviedo,40,3141,317000,"Air France","{Elche,Málaga}","Primera clase"
536639,ramite@viajes.cl,86422,"Las Palmas de Gran Canaria",ZAMORA!!!,69,781,41000,"Southwest Airlines",{},"Clase económica"
536702,ArturochavarrOAa@viajes.cl,21362,Sagunto,Oviedo,17,4179,497000,"Alaska Airlines","{Murcia,Rubí}","Primera clase"
536757,Sra.raya@viajes.cl,28849,Mérida,Pamplona,13,2767,154000,KLM,"{Ceuta,""Chiclana de la Frontera""}","Clase ejecutiva"
536759,sabanOe@viajes.cl,1714,Mérida,Tarrasa,42,2791,85000,"Air Canada",{Mataró},"Clase ejecutiva"
536763,FlorenciajOequez@viajes.ceele,14968,León,RUBí!!!,72,3500,249000,Qantas,"{Tarragona,Elche,Toledo}","Primera clase"
536789,amalia9799@viajes.cl,82678,Estepona,Barcelona,32,1841,95000,"Copa Airlines","{Ponferrada,""Las Palmas de Gran Canaria""}","Clase ejecutiva"
536795,carolina5670@viajes.ceele,65726,Barcelona,Córdoba,14,3926,256000,"Wizz Air","{Alcobendas,Benalmádena,León}","Primera clase"
536796,srmadecaalpo@viajes.cl,90552,Arrecife,"Pozuelo de Alarcón",55,1306,136000,"Delta Air Lines",{},"Clase económica"
536799,Antonioalvarado@viajes.ceele,91370,"Pozuelo de Alarcón",Mataró,91,2147,172000,"Etihad Airways",{},"Clase ejecutiva"
536818,Manuelavega@viajes.cl,14881,estepona#,"Castellón de la Plana",21,1908,182000,"Etihad Airways","{Huelva,Alcobendas}","Clase económica"
536826,savOogo@viajes.cl,24486,Albacete,Parla,88,2303,259000,"Delta Air Lines","{""Talavera de la Reina""}","Clase ejecutiva"
536845,DOoborahenrOAquez@viajes.cl,98421,"Cerdañola del Vallés","Hospitalet de LLobregat",29,3067,326000,"Singapore Airlines","{""Palma de Mallorca"",Gandía,""El Prat de LLobregat"",Mijas}","Clase ejecutiva"
536850,Claudiozayas@viajes.cl,83956,Gecho,Paterna,79,2720,266000,Lufthansa,"{""Hospitalet de LLobregat"",Gijón}","Clase ejecutiva"
536867,Samuelarenas@viajes.cl,69277,Majadahonda,Logroño,35,1482,81000,"Turkish Airlines","{""Alcalá de Guadaira"",Fuenlabrada}","Clase ejecutiva"
536884,vicente3826@viajes.cl,21889,Torremolinos,Bilbao,94,2443,291000,Iberia,{Oviedo},"Primera clase"
536891,gaocce@viajes.cl,54772,Bilbao,Sevilla,14,2586,195000,JetBlue,{},"Clase ejecutiva"
536896,comoro@viajes.cl,11041,Sevilla,Gerona,6,503,46000,"Alaska Airlines",{},"Clase económica"
536939,sra.7007@viajes.cl,65132,"Santa Lucía de Tirajana",Sagunto,x,3231,166000,KLM,{Cádiz},"Clase ejecutiva"
536958,Sra.olvera@viajes.cl,53852,Zaragoza,Calahorra,14,3693,234000,"LATAM Airlines","{Santander,""San Sebastián"",Madrid,Bilbao,Ponferrada}","Primera clase"
536959,Micaelamedrano@viajes.cl,14245,Calahorra,Sevilla,74,1866,56000,"Turkish Airlines",{},"Clase económica"
536960,marta1746@viajes.cl,61623,Sevilla,"San Sebastián",30,610,134000,KLM,{},"Clase ejecutiva"
536967,alguor@viajes.cl,15473,"San Sebastián",Ávila,53,206,175000,"American Airlines",{},"Clase económica"
536997,josOo7758@viajes.cl,35304,Torrelavega,"CASTELLóN DE LA PLANA!!!",94,369,124000,Avianca,{},"Clase económica"
537000,alsaal@viajes.cl,97392,"Santa Lucía de Tirajana",Torrelavega,15,4191,364000,Aeroméxico,"{Huelva,Zamora,Reus,""Palma de Mallorca""}","Primera clase"
537034,InOosvenegas@viajes.cl,6857,Gerona,Getafe,15,2778,93000,EasyJet,"{Valencia,Motril}","Primera clase"
537041,irene3939@viajes.cl,18455,Getafe,Orense,15,3406,254000,"Turkish Airlines","{""Santa Coloma de Gramanet""}","Clase ejecutiva"
537079,carmen9375@viajes.ceele,38622,Jaén,Algeciras,44,2502,151000,"Turkish Airlines",{},"Clase ejecutiva"
537086,stsimocOI@viajes.cl,25460,Santander,"Alcalá de Henares",28,1082,51000,WestJet,"{""Collado Villalba""}","Clase económica"
537195,jaboca@viajes.cl,39301,Gecho,Lugo,20,456,43000,Qantas,{},"Clase económica"
537170,LeonorconcepciOIn@viajes.cl,6759,estepona#,Arrecife,31,1191,60000,"Etihad Airways",{},"Clase económica"
537178,mamari@viajes.cl,65024,Arrecife,Córdoba,9,3807,419000,"Alaska Airlines","{Benidorm,""Castellón de la Plana"",Gijón,Alcobendas}","Primera clase"
