codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo,comodidades
537589,RamOIngalindo@viajes.cl,10169,Cartagena,Guadalajara,39,4154,147000,Futura,Cama,"{Baño,Calefacción,""Aire acondicionado""}"
537612,Sta.solOAs@viajes.cl,80848,Ávila,Torrelavega,43,2401,107000,JetSur,Cama,"{Calefacción,TV,Wifi}"
537621,alfonso6673@viajes.cl,56381,Getafe,Marbella,33,1261,172000,"Buses Nilahue",Cama,"{Calefacción,Agua,""Aire acondicionado""}"
536208,rubOon2473@viajes.cl,15100,Pamplona,Pontevedra,x,3515,188000,x,Cama,"{Agua,Wifi,Comida}"
536210,elena8997@viajes.ceele,47688,Pontevedra,"Talavera de la Reina",35,1949,90000,Monbus,Cama,"{Baño,Comida,""Aire acondicionado""}"
536211,OIscar7270@viajes.cl,80397,"Talavera de la Reina",Fuenlabrada,30,3440,111000,Futura,Cama,"{Wifi,Baño,""Aire acondicionado""}"
536212,Gonzaloprado@viajes.cl,7010,Torrelavega,Orense,38,2119,190000,"El Rápido Internacional",Cama,"{Calefacción,Baño,""Aire acondicionado""}"
536213,sr.9835@viajes.cl,63001,Orense,Alcorcón,35,350,44000,ADO,Normal,"{Baño,""Aire acondicionado"",TV}"
536223,benjamOAn622@viajes.cl,56874,Salamanca,"El Ejido",34,3794,65000,Turbus,Cama,"{""Aire acondicionado"",TV,""Asientos reclinables""}"
536230,diego9697@viajes.cl,61775,"El Ejido",Alcorcón,41,2432,126000,Plusmar,Cama,"{Agua,Baño,""Asientos reclinables""}"
536262,Leonorgallegos@viajes.cl,62934,Madrid,LEóN!!!,50,1060,71000,Alsa,Cama,"{Baño,Calefacción,TV}"
536269,Sta.rojas@viajes.ceele,89405,Elche,Elche,41,3801,99000,"Condor Bus",Cama,"{""Aire acondicionado"",Comida,Agua}"
536277,Sra.urOAas@viajes.cl,41200,Tarragona,Elda,31,1477,130000,Turbus,Cama,"{Wifi,""Aire acondicionado"",Baño}"
536278,srlulour@viajes.ceele,93251,elda#,Estepona,33,4082,170000,"Condor Bus",Cama,"{Wifi,Comida,Agua}"
536297,lurevi@viajes.cl,9351,"Chiclana de la Frontera",Salamanca,50,3583,104000,"Buses Bio Bio",Cama,"{TV,""Aire acondicionado"",""Asientos reclinables""}"
536298,alruca@viajes.cl,95234,Salamanca,VALENCIA!!!,x,2734,131000,Avanza,Cama,"{Wifi,Baño,""Aire acondicionado""}"
536310,COosaresquibel@viajes.cl,88879,Gecho,Albacete,49,4176,199000,"El Rápido Internacional",Cama,"{""Asientos reclinables"",Wifi,Calefacción}"
536316,esteban8714@viajes.cl,55237,Albacete,"Mollet del Vallés",40,1450,108000,ADO,Cama,"{""Asientos reclinables"",Calefacción,Baño}"
536317,gerardo2022@viajes.cl,69306,"Mollet del Vallés",Lorca,30,1356,61000,"Buses Nilahue",Cama,"{Baño,""Aire acondicionado"",Comida}"
536333,Federicobanda@viajes.cl,84900,Tarrasa,Gecho,44,3935,165000,"Condor Bus",Cama,"{Baño,TV,""Aire acondicionado""}"
536340,SanchotOollez@viajes.cl,86637,Cádiz,Irún,42,437,74000,"ETN Turistar",Semi-cama,"{""Aire acondicionado"",Agua,Calefacción}"
536341,AlfredomacOAas@viajes.cl,20276,Irún,"Mollet del Vallés",34,2932,147000,"Buses Romani",Cama,"{Calefacción,TV,""Asientos reclinables""}"
536342,NormatOollez@viajes.cl,27476,"Mollet del Vallés",ESTEPONA!!!,42,3593,190000,JetSur,Cama,"{""Aire acondicionado"",Agua,Baño}"
536354,srrunaso@viajes.cl,69169,Vigo,Telde,42,1885,87000,"EME Bus",Cama,"{Wifi,Calefacción,""Aire acondicionado""}"
536357,srsavile@viajes.cl,9912,"Chiclana de la Frontera",Huelva,49,887,150000,"El Rápido Internacional",Cama,"{Calefacción,""Aire acondicionado"",""Asientos reclinables""}"
536365,sra.5340@viajes.cl,29364,Badalona,Granada,34,1696,192000,"Flecha Bus",Cama,"{""Asientos reclinables"",Calefacción,Wifi}"
536411,sra.7161@viajes.ceele,39811,Tarrasa,Torremolinos,45,2370,112000,"Condor Bus",Cama,"{Baño,Agua,TV}"
536417,josOo7730@viajes.cl,32509,Bilbao,"Cerdañola del Vallés",49,672,174000,"Buses Nilahue",Cama,"{""Aire acondicionado"",Agua,Wifi}"
536418,RamOInsepOUlveda@viajes.cl,39703,"Cerdañola del Vallés",Majadahonda,39,502,41000,ADO,Semi-cama,"{Wifi,Baño,Agua}"
536431,teodoro9248@viajes.cl,34540,Coslada,TELDE!!!,40,1972,178000,"Estrella Roja",Cama,"{""Asientos reclinables"",TV,Wifi}"
536432,EmiliavillagOImez@viajes.cl,38211,León,Parla,40,1266,120000,"Flecha Bus",Cama,"{Agua,""Aire acondicionado"",TV}"
536435,Magdalenaperea@viajes.cl,83122,Parla,Murcia,31,1532,160000,"Buses Nilahue",Cama,"{Calefacción,Baño,TV}"
536442,AndrOosvanegas@viajes.cl,65287,"Sanlúcar de Barrameda","Chiclana de la Frontera",34,393,61000,"Crucero del Norte",Semi-cama,"{Comida,Baño,""Asientos reclinables""}"
536450,jecaol@viajes.cl,55346,"Chiclana de la Frontera",Alcorcón,34,1742,172000,Greyhound,Cama,"{Calefacción,TV,Comida}"
536456,MarOAavOolez@viajes.cl,56531,"Talavera de la Reina",Coslada,31,1005,178000,BoltBus,Cama,"{Comida,""Asientos reclinables"",Wifi}"
536461,srhuolso@viajes.cl,61721,Cádiz,CARTAGENA!!!,35,236,37000,"Via Bariloche",Normal,"{Wifi,Baño,Comida}"
536535,masobres@viajes.cl,86180,Lérida,Inca,43,2541,98000,Plusmar,Cama,"{TV,Agua,Calefacción}"
536540,dialsa@viajes.cl,17281,Tarragona,Avilés,42,2627,69000,Chevallier,Cama,"{TV,Wifi,Comida}"
