nombre,run,dv,correo,contrasena,nombre_usuario,telefono_contacto,jornada,isapre,contrato
"Ramón Cazares Galindo",7473184,8,RamOIngalindo@viajes.cl,nwDkW5nfoZHZ4aE,racaga,+56-9-4502-0837,Nocturno,Fonasa,"Part time"
"Sta. María Elena Marroquín Solís",3280540,0,Sta.solOAs@viajes.cl,OZdPy6ZMbjfY5R,stmaelmaso,"+56 9 3083 1117",Diurno,Fonasa,"Part time"
"Débora Cerda Abrego",380222,1,DOoboraabrego@viajes.cl,oidvBZaQn2J,déceab,"+56 9 7966 9246",Nocturno,Fonasa,"Part time"
"Beatriz Camarillo Cazares",522617,1,Beatrizcazares@viajes.cl,lJIOLAC7k,Beatrizcazares,"+56 9 9743 3847",Nocturno,Banmédica,"Part time"
"Alfonso Abreu Jaimes",20694683,0,alfonso6673@viajes.cl,joy4f1UxI5wcaLL,alfonso8400,"+56 9 2214 5952",Diurno,"Más vida","Part time"
"Mayte Duarte Cardona",29345350,0,maduca@viajes.cl,GvuQVZ4hm9d3xV,maduca,"+56 2 5172 1954",Diurno,Banmédica,"Full time"
"María del Carmen Cardona Benavídez",6559483,8,marOAa5411@viajes.cl,d4XG8KmRskK2,Maríabenavídez,"+56 2 8690 2462",Nocturno,Colmena,"Part time"
"Rubén Monroy Quezada",1106917,7,rubOon2473@viajes.cl,PrSiZo4Gagu2G0,Rubénquezada,"+56 9 3117 9812",Nocturno,Banmédica,"Full time"
"Elena Garibay Henríquez",8690351,2,elena8997@viajes.ceele,OlcGiw09B,elena7908,"+56 9 1289 1722",Diurno,Fonasa,"Part time"
"Óscar Gálvez Berríos",5158576,3,OIscar7270@viajes.cl,TY1rvLZfVbpU4Bk,óscar9603,"+56 2 0782 4794",Nocturno,Consalud,"Part time"
"Gonzalo Márquez Prado",25984791,5,Gonzaloprado@viajes.cl,NieREzQ4628,Gonzaloprado,"+56 9 7872 1064",Diurno,Fonasa,"Full time"
"Sr. Adela Martínez Olvera",16179761,8,sr.9835@viajes.cl,eyxqCpqD1YpcNr,sr.1828,"+56 9 8893 4008",Nocturno,"Más vida","Part time"
"Dorotea Garza Rodríquez",24123782,6,dogaro@viajes.cl,Z6u07duRNH2,dorotea8804,"+56 9 3987 2765",Diurno,Consalud,"Full time"
"María José Mayorga Molina",14395541,9,marOAa1272@viajes.cl,v9PCwTfP82e8nW,maría2774,"+56 9 5841 4186",Diurno,"Más vida","Full time"
"Benjamín Portillo Girón",23379627,1,benjamOAn622@viajes.cl,mjoVvfCLo6emz6,Benjamíngirón,"+56 9 6071 5615",Diurno,"Más vida","Full time"
"Diego Meza Carrero",4046895,1,diego9697@viajes.cl,r0OTBBkX,Diegocarrero,"+56 2 6364 0708",Nocturno,Colmena,"Part time"
"Lourdes Cedillo Jaramillo",16684792,3,lourdes7642@viajes.cl,2w9tbYIftG,Lourdesjaramillo,"+56 9 3766 4724",Nocturno,Banmédica,"Full time"
"Luis Miguel Alaniz Solorio",26590774,1,luis2060@viajes.cl,2jTGLPcq,luis6367,+56-9-8560-2159,Nocturno,Banmédica,"Full time"
"Pilar Garrido Pizarro",7894458,7,pilar5483@viajes.cl,s6v7dQ9Vc,pigapi,"+56 2 3713 1602",Diurno,"Más vida","Full time"
"Sr. Julio Casillas Meraz",16831151,6,sr.8176@viajes.cl,WIySvWhzq58YAv,Sr.meraz,"+56 9 3193 3332",Nocturno,Colmena,"Full time"
"Leonor Alcala Gallegos",13989233,0,Leonorgallegos@viajes.cl,g715mln1tPXr,leonor6547,"+56 2 7721 7918",Nocturno,Fonasa,"Part time"
