nombre,run,dv,nombre_usuario,correo,contrasena,telefono_contacto
"Luz Zavala Velásquez",7025412,3,luz2888,LuzvelOesquez@marmol.com,eVmoWeXdE8UdKN3m,"+56 2 3340 2787"
"Ricardo Cornejo Borrego",10050736,6,ricobo,Ricardoborrego@marmol.com,7HI6nw9ZoUIi,"+56 9 6191 3372"
"Ana Sierra Benavídez",1722271,6,ansibe,AnabenavOAdez@edubus.ceele,hBzp14EYD9W,"+56 2 9073 3130"
"Verónica Yáñez Aragón",28148325,0,verónica6959,veyOear@edubus.cal,JBGaXslPt5ct2,"+56 9 6568 7111"
"Sancho Corral Grijalva",15695071,8,Sanchogrijalva,Sanchogrijalva@wass.com,4FpjEN0w2,"+56 9 1762 3200"
"José Urías Arce",22594065,7,jourar,JosOoarce@wass.com,FO3hK5sAr60tM3Qv,"+56 9 1011 3842"
"Javier Barrios Partida",7129015,8,Javierpartida,javier7109@edubus.cal,tr3vH7VrYenK,+56-2-2030-1743
"Miguel Ángel Lozada Cabrera",8904137,6,Miguelcabrera,Miguelcabrera@outluc.com,8A22Hx2rzPv8,"+56 9 2711 3385"
"Gregorio Navarrete Lomeli",18280298,0,Gregoriolomeli,grnalo@edubus.cal,YJZzx84C,"+56 9 3662 8276"
"Jorge Medrano Rubio",19923408,0,jorge3958,Jorgerubio@viajesanma.com,Cu98ekEN1VCjp,"+56 9 9525 0318"
"Jorge Medrano Rubio",19923408,0,jorge3958,Jorgerubio@viajesanma.ceele,Cu98ekEN1VCjp,"+56 9 9525 0318"
"Pilar Ureña Rolón",11380697,4,Pilarrolón,pilar808@marmol.com,4pKtUTe7IMSEwf,"+56 2 9763 8895"
"Antonio Archuleta Nájera",25034801,0,antonio6129,anarnOe@marmol.com,4N7Das6S0zIa,"+56 2 4217 4189"
"Marcos Delrío Gaona",6163899,7,marcos301,madega@marmol.com,YNbMI9F4,"+56 9 6547 1215"
