codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa
537589,RamOIngalindo@viajes.cl,10169,Cartagena,Guadalajara,39,4154,147000,Futura
537612,Sta.solOAs@viajes.cl,80848,Ávila,Torrelavega,43,2401,107000,JetSur
537613,DOoboraabrego@viajes.cl,35618,Irún,Telde,96,4059,420000,"Turkish Airlines"
537616,Beatrizcazares@viajes.cl,47943,Telde,Toledo,74,622,29000,EasyJet
537621,alfonso6673@viajes.cl,56381,Getafe,Marbella,33,1261,172000,"Buses Nilahue"
536196,maduca@viajes.cl,66238,Logroño,Fuenlabrada,77,3574,363000,"Turkish Airlines"
536203,marOAa5411@viajes.cl,22677,Fuenlabrada,"Alcalá de Henares",59,2556,300000,Qantas
536208,rubOon2473@viajes.cl,15100,Pamplona,Pontevedra,x,3515,188000,x
536210,elena8997@viajes.ceele,47688,Pontevedra,"Talavera de la Reina",35,1949,90000,Monbus
536211,OIscar7270@viajes.cl,80397,"Talavera de la Reina",Fuenlabrada,30,3440,111000,Futura
536212,Gonzaloprado@viajes.cl,7010,Torrelavega,Orense,38,2119,190000,"El Rápido Internacional"
536213,sr.9835@viajes.cl,63001,Orense,Alcorcón,35,350,44000,ADO
536218,dogaro@viajes.cl,33665,Motril,Madrid,39,1342,131000,JetBlue
536219,marOAa1272@viajes.cl,171,Reus,Badalona,88,3819,310000,"ŽFBH (Bosnia y Herzegovina)"
536223,benjamOAn622@viajes.cl,56874,Salamanca,"El Ejido",34,3794,65000,Turbus
536230,diego9697@viajes.cl,61775,"El Ejido",Alcorcón,41,2432,126000,Plusmar
536238,lourdes7642@viajes.cl,21615,Lorca,Lorca,93,3872,378000,KLM
536246,luis2060@viajes.cl,9235,Fuengirola,Cáceres,2,3618,480000,"Deutsche Bahn (DB)"
536254,pilar5483@viajes.cl,70074,cáceres#,Santander,97,3071,339000,AVE
536257,sr.8176@viajes.cl,78902,Santander,Rubí,59,1033,73000,"PKP (Polonia)"
536262,Leonorgallegos@viajes.cl,62934,Madrid,LEóN!!!,50,1060,71000,Alsa
536269,Sta.rojas@viajes.ceele,89405,Elche,Elche,41,3801,99000,"Condor Bus"
536277,Sra.urOAas@viajes.cl,41200,Tarragona,Elda,31,1477,130000,Turbus
536278,srlulour@viajes.ceele,93251,elda#,Estepona,33,4082,170000,"Condor Bus"
536280,gugugi@viajes.cl,81566,Mataró,Granollers,27,2145,79000,"Ethiopian Airlines"
536281,EmiliavillagOImez@viajes.cl,89446,Granollers,Elda,54,1203,116000,"Etihad Airways"
536297,lurevi@viajes.cl,9351,"Chiclana de la Frontera",Salamanca,50,3583,104000,"Buses Bio Bio"
536298,alruca@viajes.cl,95234,Salamanca,VALENCIA!!!,x,2734,131000,Avanza
536305,JosOoquiroz@viajes.cl,46163,Algeciras,Majadahonda,51,584,89000,Emirates
536310,COosaresquibel@viajes.cl,88879,Gecho,Albacete,49,4176,199000,"El Rápido Internacional"
536316,esteban8714@viajes.cl,55237,Albacete,"Mollet del Vallés",40,1450,108000,ADO
536317,gerardo2022@viajes.cl,69306,"Mollet del Vallés",Lorca,30,1356,61000,"Buses Nilahue"
536318,Raquelespino@viajes.cl,32930,Segovia,Jaén,7,2476,282000,"VR (Finlandia)"
536323,mateo3420@viajes.cl,10060,Jaén,"San Cristróbal de la Laguna",78,2103,173000,"Nederlandse Sp"
536324,TimoteojimOAnez@viajes.cl,67001,"San Cristróbal de la Laguna","La Coruña",58,3212,123000,Amtrak
536328,cOocoro@viajes.cl,63727,"La Línea de la Concepción",Majadahonda,17,3587,160000,Ryanair
536332,marOAa9727@viajes.cl,59373,Majadahonda,PAMPLONA!!!,3,2905,374000,"Copa Airlines"
536333,Federicobanda@viajes.cl,84900,Tarrasa,Gecho,44,3935,165000,"Condor Bus"
536340,SanchotOollez@viajes.cl,86637,Cádiz,Irún,42,437,74000,"ETN Turistar"
536341,AlfredomacOAas@viajes.cl,20276,Irún,"Mollet del Vallés",34,2932,147000,"Buses Romani"
536342,NormatOollez@viajes.cl,27476,"Mollet del Vallés",ESTEPONA!!!,42,3593,190000,JetSur
536343,roraho@viajes.ceele,44471,"Talavera de la Reina",Paterna,76,4155,331000,"Wizz Air"
536344,Rosaliamadrid@viajes.cl,46798,Murcia,"El Puerto de Santa María",50,3368,222000,Iberia
536347,francisco4064@viajes.cl,59065,"El Puerto de Santa María",Pontevedra,6,2320,88000,"Air Canada"
x,clpeza@viajes.cl,56671,"Pozuelo de Alarcón",Ávila,49,1417,51000,x
536354,srrunaso@viajes.cl,69169,Vigo,Telde,42,1885,87000,"EME Bus"
536357,srsavile@viajes.cl,9912,"Chiclana de la Frontera",Huelva,49,887,150000,"El Rápido Internacional"
536365,sra.5340@viajes.cl,29364,Badalona,Granada,34,1696,192000,"Flecha Bus"
536379,Sergioramos@viajes.cl,96851,Badajoz,"Jerez de la Frontera",95,3219,280000,Ryanair
536381,frsOede@viajes.cl,90996,"Sanlúcar de Barrameda",Ávila,87,3091,384000,Eurostar
536388,isallo@viajes.cl,28190,Algeciras,Barcelona,7,3789,479000,"SNCB (Bélgica)"
536389,josefina2243@viajes.cl,48433,Barcelona,Benalmádena,73,3797,229000,"Deutsche Bahn (DB)"
536396,jolucoal@viajes.cl,84509,Benalmádena,Badalona,39,3190,201000,"ÖBB (Austria)"
536404,miguel4767@viajes.cl,83513,"Dos Hermanas",Vigo,93,2344,203000,"NSB (Noruega)"
536410,RosariocalderOIn@viajes.cl,21065,Ferrol,Segovia,56,3596,371000,"Air Canada"
536411,sra.7161@viajes.ceele,39811,Tarrasa,Torremolinos,45,2370,112000,"Condor Bus"
536416,Maricarmenfranco@viajes.cl,93383,Valencia,Fuengirola,58,1724,114000,Trenitalia
536417,josOo7730@viajes.cl,32509,Bilbao,"Cerdañola del Vallés",49,672,174000,"Buses Nilahue"
536418,RamOInsepOUlveda@viajes.cl,39703,"Cerdañola del Vallés",Majadahonda,39,502,41000,ADO
536419,adriana2375@viajes.cl,42056,"Santa Lucía de Tirajana",Gecho,57,2927,101000,"CD (República Checa)"
536425,bernardo8297@viajes.cl,27791,Gecho,PONFERRADA!!!,49,660,35000,Trenitalia
536430,Danielaarguello@viajes.cl,95904,Pamplona,Badalona,20,208,95000,"TGV (SNCF)"
536431,teodoro9248@viajes.cl,34540,Coslada,TELDE!!!,40,1972,178000,"Estrella Roja"
536432,EmiliavillagOImez@viajes.cl,38211,León,Parla,40,1266,120000,"Flecha Bus"
536435,Magdalenaperea@viajes.cl,83122,Parla,Murcia,31,1532,160000,"Buses Nilahue"
536442,AndrOosvanegas@viajes.cl,65287,"Sanlúcar de Barrameda","Chiclana de la Frontera",34,393,61000,"Crucero del Norte"
536450,jecaol@viajes.cl,55346,"Chiclana de la Frontera",Alcorcón,34,1742,172000,Greyhound
536456,MarOAavOolez@viajes.cl,56531,"Talavera de la Reina",Coslada,31,1005,178000,BoltBus
536457,paarfi@viajes.cl,46214,Ponferrada,Lugo,33,3503,298000,"ÖBB (Austria)"
536460,federico4047@viajes.cl,48876,Alcobendas,"Alcalá de Henares",71,647,68000,"Turkish Airlines"
536461,srhuolso@viajes.cl,61721,Cádiz,CARTAGENA!!!,35,236,37000,"Via Bariloche"
536470,horacio7455@viajes.cl,52400,Ponferrada,Almería,8,358,71000,Qantas
536474,Lourdesguerra@viajes.cl,49096,x,Lorca,51,2511,115000,"CP (Portugal)"
536476,gaocce@viajes.cl,30481,Lorca,"Cornellá de Llobregat",8,2911,253000,"VRZ (Croacia)"
536492,Sta.cruz@viajes.cl,95847,Sagunto,Avilés,23,1304,95000,"Delta Air Lines"
536493,Sra.trejo@viajes.cl,26138,Cuenta,Bilbao,66,3719,397000,"Southwest Airlines"
536501,agpava@viajes.ceele,25409,Pamplona,x,94,x,333000,"VR (Finlandia)"
536508,Sta.vOolez@viajes.cl,96439,Telde,Málaga,24,2642,240000,"American Airlines"
536509,cldeca@viajes.cl,71902,Málaga,ARRECIFE!!!,30,2024,197000,"British Airways"
536513,Sr.nieves@viajes.cl,11986,Arrecife,Gandía,46,142,78000,KLM
536521,Franciscoalejandro@viajes.cl,85844,Avilés,Palencia,29,3838,181000,Amtrak
536525,cOosar2050@viajes.cl,8272,Palencia,Guadalajara,1,1419,66000,"VRZ (Croacia)"
536526,isabel4543@viajes.cl,77848,Coslada,Elda,69,2588,270000,Amtrak
536527,Guadalupemontenegro@viajes.cl,34742,Móstoles,Calahorra,15,1070,98000,Italo
536529,sta.8042@viajes.cl,59747,sabadell#,"Alcalá de Henares",72,2886,373000,"RZD (Rusia)"
536535,masobres@viajes.cl,86180,Lérida,Inca,43,2541,98000,Plusmar
536540,dialsa@viajes.cl,17281,Tarragona,Avilés,42,2627,69000,Chevallier
536541,Beatrizgallegos@viajes.cl,20231,Avilés,Murcia,34,3213,88000,Alsa
536542,JuanasOeenz@viajes.cl,81467,Murcia,"Torrejón de Ardoz",34,3209,99000,"ETN Turistar"
536543,soreol@viajes.cl,73086,Gandía,Madrid,35,1934,68000,"EME Bus"
536544,stfealnOe@viajes.cl,16440,Fuenlabrada,Vigo,40,3683,92000,Plusmar
536545,crsopa@viajes.cl,59583,Vigo,Palencia,43,3245,77000,Chevallier
536546,Patriciovillanueva@viajes.cl,47702,"La Coruña","Collado Villalba",89,391,131000,"NS International"
536547,benjamOAn5601@viajes.cl,79379,"Collado Villalba",Lérida,26,2688,174000,Trenitalia
536555,gralro@viajes.ceele,72640,Sagunto,SEGOVIA!!!,62,3905,471000,"DSB (Dinamarca)"
536556,lourdes4557@viajes.cl,57497,Segovia,Salamanca,43,1827,140000,"SNCB (Bélgica)"
536563,pedro4478@viajes.cl,61516,Salamanca,"Ciudad Real",94,4212,269000,"SBB (Suiza)"
536567,sr.3517@viajes.cl,9292,Ponferrada,"La Línea de la Concepción",13,1112,144000,WestJet
536569,alguor@viajes.cl,67997,"Ciudad Real",Valencia,90,231,89000,Qantas
536570,AndrOosvanegas@viajes.cl,15125,Gandía,Badalona,31,4294,121000,Monbus
536571,Micaelamedrano@viajes.cl,24766,Badalona,Orense,50,3151,166000,"ETN Turistar"
536578,Sta.quesada@viajes.cl,98625,Orense,Logroño,39,3001,199000,Socibus
536581,natalia5857@viajes.cl,32832,Málaga,Arrecife,31,441,46000,"Condor Bus"
536582,TimoteoguzmOen@viajes.cl,63527,Manresa,Granada,8,1624,60000,"Deutsche Bahn (DB)"
