codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,comodidades,paradas
536219,marOAa1272@viajes.cl,171,Reus,Badalona,88,3819,310000,"ŽFBH (Bosnia y Herzegovina)","{TV,Comida,""Asientos reclinables"",Wifi,Calefacción,""Aire acondicionado"",Agua}","{""Palma de Mallorca""}"
536254,pilar5483@viajes.cl,70074,cáceres#,Santander,97,3071,339000,AVE,"{""Asientos reclinables"",Agua,TV,Calefacción,Comida,Wifi}","{Gijón,Algeciras}"
536257,sr.8176@viajes.cl,78902,Santander,Rubí,59,1033,73000,"PKP (Polonia)","{TV,Calefacción,Agua}","{Sevilla,""Hospitalet de LLobregat""}"
536318,Raquelespino@viajes.cl,32930,Segovia,Jaén,7,2476,282000,"VR (Finlandia)","{""Aire acondicionado"",Agua,TV,Wifi,Baño}","{""Collado Villalba"",Arrecife,""Dos Hermanas"",Gecho,Valdemoro}"
536323,mateo3420@viajes.cl,10060,Jaén,"San Cristróbal de la Laguna",78,2103,173000,"Nederlandse Sp","{Calefacción,Agua,Baño,TV}","{Estepona,Cádiz,Granada,Fuengirola}"
536324,TimoteojimOAnez@viajes.cl,67001,"San Cristróbal de la Laguna","La Coruña",58,3212,123000,Amtrak,"{""Aire acondicionado"",Comida,""Asientos reclinables"",Wifi,Agua,Baño}","{Valdemoro,Telde,Sevilla,Oviedo}"
536381,frsOede@viajes.cl,90996,"Sanlúcar de Barrameda",Ávila,87,3091,384000,Eurostar,"{Wifi,Baño,""Aire acondicionado"",Calefacción,Agua,""Asientos reclinables""}","{Benidorm,Móstoles,""Mollet del Vallés"",""Molina de Segura""}"
536388,isallo@viajes.cl,28190,Algeciras,Barcelona,7,3789,479000,"SNCB (Bélgica)","{Wifi,Comida,Baño,Calefacción,TV,Agua,""Aire acondicionado""}","{""Hospitalet de LLobregat"",Sagunto}"
536389,josefina2243@viajes.cl,48433,Barcelona,Benalmádena,73,3797,229000,"Deutsche Bahn (DB)","{Wifi,TV,Calefacción,Baño,""Aire acondicionado"",Comida,""Asientos reclinables""}","{Salamanca,Reus,Mérida,""Sanlúcar de Barrameda""}"
536404,miguel4767@viajes.cl,83513,"Dos Hermanas",Vigo,93,2344,203000,"NSB (Noruega)","{Calefacción,Wifi,Comida,""Aire acondicionado"",Agua}","{""Collado Villalba"",Telde,Estepona,""Castellón de la Plana"",Coslada}"
536415,Florenciaarias@viajes.cl,x,Gerona,"El Puerto de Santa María",82,x,354000,"TGV (SNCF)","{Calefacción,Agua,Comida,Baño,""Asientos reclinables"",TV,""Aire acondicionado""}","{Lorca,Ferrol,Mataró}"
536416,Maricarmenfranco@viajes.cl,93383,Valencia,Fuengirola,58,1724,114000,Trenitalia,"{Wifi,Calefacción,""Asientos reclinables"",Agua}","{Estepona,Torrelavega,Calahorra,Vitoria}"
536419,adriana2375@viajes.cl,42056,"Santa Lucía de Tirajana",Gecho,57,2927,101000,"CD (República Checa)","{Wifi,""Asientos reclinables"",""Aire acondicionado"",Comida,Baño,TV}","{Sevilla,""Jerez de la Frontera""}"
536425,bernardo8297@viajes.cl,27791,Gecho,PONFERRADA!!!,49,660,35000,Trenitalia,{},"{Badajoz,Segovia,Ávila}"
536430,Danielaarguello@viajes.cl,95904,Pamplona,Badalona,20,208,95000,"TGV (SNCF)",{},"{Salamanca,Gerona,Sevilla}"
536457,paarfi@viajes.cl,46214,Ponferrada,Lugo,33,3503,298000,"ÖBB (Austria)","{Baño,Comida,TV,Calefacción,Agua,Wifi}","{Alcorcón,Gecho,Cuenta,Motril}"
536474,Lourdesguerra@viajes.cl,49096,x,Lorca,51,2511,115000,"CP (Portugal)","{TV,""Aire acondicionado"",Baño,""Asientos reclinables"",Agua}","{Linares,Gijón}"
