nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas
"Rodrigo Parra Adame",3.763.600,2,ropaad@marmol.ceele,Rodrigoadame,oCzMT1HV,"+56 9 9413 4683",4509,62294,"Salida con Familia",537589,2025/01/20,1176000,8
"Verónica Yáñez Aragón",28148325,0,veyOear@@edubus.cal,verónica6959,JBGaXslPt5ct2,"+56 9 6568 7111",6050,67734,Vacaciones,536195,2025-01-21,365000,5
"Javier Barrios Partida",7.129.015,8,x,Javierpartida,x,x,x,62478,x,536213,2025/01/19,396000,9
"Sra. Barbara Badillo Manzanares",10.409.330,2,Sra.manzanares@wass.com,sra.5162,JybLcTOd0PsPOgQ,"+56 9 1253 4997",1285,67364,"Cena de Trabajo",536237,2025-06-08,574000,7
"Dolores Estévez Caldera",12277984,0,x,doesca,DRj9nPfijLq584MD,x,892,x,x,536280,2025-04-19,158000,x
"Esteban Robles Godoy",29.046.506,0,x,esteban9301,x,x,9443,66951,x,536299,2025-01-06,x,1
"Blanca Gallegos Montaño",931793,7,BlancamontaO�o@wass.ceele,blgamo,BOuitj1yal3e26T,"+56 2 4797 2226",3858,65420,Vacaciones,536305,2026-01-12,-178000,2
"Benjamín Córdova Marín",14.910.264,7,benjamOAn4313@edubus.cal,becóma,ca10i7KiU2VPwOg,"+56 2 6979 0705",8735,71022,"Cena de Trabajo",536317,2025-01-26,488000,8
"Felipe Godínez Segovia",21376206,0,fegose@@viajesanma.com,fegose,J3mv8GarwmXP3ls,"+56 9 0054 6063",6459,71613,"Salida con Familia",536323,2025-11-11,1211000,7
"Felipe Godínez Segovia",21376206,0,fegose@@viajesanma.com,fegose,J3mv8GarwmXP3ls,+56-9-0054-6063,6459,71613,"Salida con Familia",536324,2026/01/23,861000,7
"Sta. Rodrigo Ramos Vallejo",3773089,0,Sta.vallejo@@tourket.com,strorava,z5yk0z9z1hAO,"+56 2 5778 1583",1328,62494,"Salida con Familia",536333,2026/03/15,330000,2
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@@outluc.com,alfrga,Eh484WYgHwyf,"+56 9 6508 3119",2923,71671,Vacaciones,536342,2026-06-11,380000,2
"Alejandro Gaitán Piña",20167844,7,AlejandropiO�a@viajesanma.ceele,Alejandropiña,t5v8cfm7G9IObk,"+56 9 9065 1717",322,71624,"Cena de Trabajo",536404,2025-02-14,-406000,2
"Sta. Ariadna Tapia Barreto",x,9,startaba@viajesanma.com,sta.4934,x,x,1520,64660,"Salida con Familia",x,x,70000,2
"Vicente Gaitán Fajardo",x,0,Vicentefajardo@outluc.com,x,x,"+56 2 4722 4397",x,70427,"Cena de Trabajo",536431,2025-02-15,x,8
"Sr. Ricardo Balderas Cano",13.747.117,5,Sr.cano@wass.com,Sr.cano,NNH621zmneRv,+56-2-4572-8266,4690,68082,"Salida con Amigos",536435,2025-03-02,800000,5
"Arturo Duarte Bonilla",15.808.833,9,ardubo@tourket.com,ardubo,goEFyFwpE7Iy,+56-2-2866-7678,8330,66706,"Cena de Trabajo",536442,2025-05-27,549000,9
