nombre,run,dv,correo,contrasena,nombre_usuario,telefono_contacto,puntos
"Luz Zavala Velásquez",7025412,3,LuzvelOesquez@marmol.com,eVmoWeXdE8UdKN3m,luz2888,"+56 2 3340 2787",4505
"Ricardo Cornejo Borrego",10050736,6,Ricardoborrego@marmol.com,7HI6nw9ZoUIi,ricobo,"+56 9 6191 3372",5616
"Ana Sierra Benavídez",1722271,6,AnabenavOAdez@edubus.ceele,hBzp14EYD9W,ansibe,"+56 2 9073 3130",1189
"Verónica Yáñez Aragón",28148325,0,veyOear@edubus.cal,JBGaXslPt5ct2,verónica6959,"+56 9 6568 7111",6050
"Sancho Corral Grijalva",15695071,8,Sanchogrijalva@wass.com,4FpjEN0w2,Sanchogrijalva,"+56 9 1762 3200",8834
"José Urías Arce",22594065,7,JosOoarce@wass.com,FO3hK5sAr60tM3Qv,jourar,"+56 9 1011 3842",3631
"Javier Barrios Partida",7129015,8,javier7109@edubus.cal,tr3vH7VrYenK,Javierpartida,+56-2-2030-1743,7210
"Miguel Ángel Lozada Cabrera",8904137,6,Miguelcabrera@outluc.com,8A22Hx2rzPv8,Miguelcabrera,"+56 9 2711 3385",1275
"Gregorio Navarrete Lomeli",18280298,0,grnalo@edubus.cal,YJZzx84C,Gregoriolomeli,"+56 9 3662 8276",3952
"Jorge Medrano Rubio",19923408,0,Jorgerubio@viajesanma.com,Cu98ekEN1VCjp,jorge3958,"+56 9 9525 0318",7290
"Jorge Medrano Rubio",19923408,0,Jorgerubio@viajesanma.ceele,Cu98ekEN1VCjp,jorge3958,"+56 9 9525 0318",7290
"Pilar Ureña Rolón",11380697,4,pilar808@marmol.com,4pKtUTe7IMSEwf,Pilarrolón,"+56 2 9763 8895",8146
"Antonio Archuleta Nájera",25034801,0,anarnOe@marmol.com,4N7Das6S0zIa,antonio6129,"+56 2 4217 4189",5875
"Marcos Delrío Gaona",6163899,7,madega@marmol.com,YNbMI9F4,marcos301,"+56 9 6547 1215",345
"Raquel Elizondo Solís",6013756,0,raquel2524@tourket.com,x2VPsyIR8,raquel4703,"+56 2 3654 2641",4058
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,WSsIsrkw25,guadalupe2953,"+56 9 4257 6107",5952
"Dolores Estévez Caldera",12277984,0,dolores9456@edubus.cal,DRj9nPfijLq584MD,doesca,"+56 9 0355 7055",892
"Esteban Robles Godoy",29046506,0,Estebangodoy@marmol.com,O70v99F9zsNe,esteban9301,"+56 9 4849 3673",9443
"María Elena Toro Alejandro",8049346,0,maeltoal@marmol.com,hHommL6bn,maría2424,"+56 2 4812 5763",3358
"Benjamín Córdova Marín",14910264,7,benjamOAn4313@edubus.cal,ca10i7KiU2VPwOg,becóma,"+56 2 6979 0705",8735
"Felipe Godínez Segovia",21376206,0,fegose@viajesanma.com,J3mv8GarwmXP3ls,fegose,"+56 9 0054 6063",6459
"Marcela Bustos Ruelas",3903785,8,maburu@marmol.com,gc7pbohzLwYF3,maburu,"+56 2 5953 9398",4361
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@outluc.com,Eh484WYgHwyf,alfrga,+56-9-6508-3119,2923
"Roberto Delao Lovato",17545422,5,rodelo@marmol.com,de3KY7eF8sBuR,roberto4727,"+56 9 2808 4782",1422
