agenda_id,etiqueta,id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama
57773,,78430,2026-03-20,532000,7,No disponible,-532,,,,,,,Secret Escapes,,,,{},,,{},,Motril,,,,,{},,,Relájate en la playa,,,,Tour,6,76000,{},2026-11-03
64869,,78469,2025-04-08,91000,7,No disponible,91,,,,1,,,Luxury Escapes,,,,{},{},,,,Gecho,,,,,{},,,Conoce la historia de la ciudad,,,,Aventura,1,13000,{},2026-08-22
,Salida con Familia,78473,2026-08-14,504000,7,No disponible,504,Blancagarica831@viajes.cl,Las Palmas de Gran Canaria,Mataró,81,881,72000,Deutsche Bahn (DB),2026-08-26,2026-08-26,,"{TV,Agua,Calefacción}",{},,,,,,,,,{},,,,,,,,,,{},
,Cena de Trabajo,78478,2025-10-04,,2,No disponible,60,,,,4,,,Luxury Escapes,,,,{},{},,{},,Irún,,,,,{},,,Disfruta de un día en la naturaleza,,,,Paseo,,30000,{},2026-07-18
,Salida con Familia,78491,2025-01-20,762000,3,No disponible,762,alcegá275@viajes.cl,Ciudad Real,Torrelavega,12,2499,,Iberia,2026-03-05,2026-03-06,,{},{},Primera clase,{},,,,,,,{},,,,,,,,,,{},
,Vacaciones,78496,2026-03-04,72000,9,No disponible,72,,,,8,,,Flight Centre Travel Group,,,,{},{},,{},,Torrelavega,,,,,{},,,Descubre la gastronomía local,,,,Excursión,,8000,{},2026-03-24
58036,,78498,2025-08-16,63000,9,No disponible,63,,,,18,,,CWT,,,,{},{},,{},,Torrelavega,,,,,{},,,Aventúrate en la montaña,,,,Visita,2,7000,{},2026-03-26
,Aniversario,78502,2025-02-08,1008000,9,No disponible,1296,,,,,,,,,,,"{Spa,Wifi,Comida,""Servicio a la habitación"",Baño}",{},,{},Casa en Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,144000,2,2025-05-18,2025-05-25,{},Sta. María Luisa Negrete Casares,+56 2 2875 3475,Disfruta de una estadía en el corazón de la ciudad,4,6,4,,,,{},
,Aniversario,78504,2025-03-13,441000,9,No disponible,441,,,,33,,,Contiki,,,,{},{},,{},,,,,,,{},,,Disfruta de un día en la naturaleza,,,,Aventura,1,49000,{},2025-05-20
,Aniversario,78513,2026-02-25,45000,3,No disponible,,,,,32,,,Exodus Travels,,,,{},{},,{},,Irún,,,,,,,,Disfruta de un día en la naturaleza,,,,Paseo,5,15000,{},2026-08-08
,Aniversario,78520,2025-02-25,119000,1,No disponible,119,srgebegr871@viajes.cl,Bilbao,Torremolinos,79,,119000,All Nippon Airways (ANA),2025-02-26,2025-02-27,,{},"{Murcia,""Santa Coloma de Gramanet""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
,Aniversario,,2025-01-12,83000,1,No disponible,83,,,,14,,,Exodus Travels,,,,{},{},,{},,Torremolinos,,,,,{},,,Descubre la gastronomía local,,,,Aventura,7,83000,{},2025-02-28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salida con Familia,,2025-06-29,100000,1,No disponible,100,,,,14,,,Intrepid Travel,,,,{},{},,{},,Roquetas de Mar,,,,,{},,,Aventúrate en la montaña,,,,Tour,7,100000,{},2025-07-08
,Salida con Familia,78539,2025-03-16,87000,1,No disponible,87,,,,25,,,Expedia Group,,,,{},{},,,,Palencia,,,,,{},,,Aventúrate en la montaña,,,,Tour,6,87000,,
,Aniversario,78547,2025-04-26,720000,8,No disponible,720,,,,4,,,Flight Centre Travel Group,,,,{},{},,{},,El Ejido,,,,,{},,,Descubre la gastronomía local,,,,Tour,2,90000,{},2025-07-07
61462,,,2025-10-27,1990000,10,No disponible,1990,Jorgecano411@viajes.cl,Alcalá de Guadaira,Jerez de la Frontera,40,4029,199000,Primera Plus,2026-04-02,2026-04-04,Cama,"{Wifi,Baño,Agua}",{},,{},,,,,,,{},,,,,,,,,,{},
,Salida con Familia,,2025-05-02,1000000,8,No disponible,1000,stmaancaca776@viajes.cl,Pozuelo de Alarcón,Gijón,17,,125000,AVE,2025-12-04,2025-12-06,,"{Comida,Baño,""Aire acondicionado"",TV,Wifi,Agua}",{},,"{""Alcalá de Henares"",Torrelavega,Avilés,Manresa}",,,,,,,{},,,,,,,,,,{},
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salida con Familia,78569,2025-04-04,98000,1,No disponible,98,elcopa658@viajes.cl,Cuenta,Cerdañola del Vallés,39,3301,98000,Damas,2025-05-09,2025-05-11,Cama,"{Calefacción,Baño,Wifi}",{},,{},,,,,,,{},,,,,,,,,,{},
61764,,78572,2025-03-08,23000,1,No disponible,23,,,,23,,,CWT,,,,{},{},,{},,Cerdañola del Vallés,,,,,{},,,Descubre la gastronomía local,,,,Visita,6,23000,{},2025-05-13
62439,,78574,2026-03-13,270000,6,No disponible,270,sta.4507806@viajes.cl,Móstoles,Torrelavega,3,1017,45000,CP (Portugal),,2026-07-30,,"{Baño,TV,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},
62439,,78575,2026-07-29,213000,6,No disponible,426,,,,,,,,,,,"{""Aire acondicionado"",""Vista al mar"",TV,Piscina,Chimenea}",,,{},Hostal en Torrelavega,Torrelavega,71000,1,2026-07-30,2026-08-02,,Sr. Florencia Delapaz Hernandes,+56 9 8829 4592,Ideal para una escapada romántica,2,4,2,,,,{},
,Salida con Amigos,78583,2026-08-05,85000,,No disponible,85,,,,33,,,Secret Escapes,,,,{},{},,{},,El Prat de LLobregat,,,,,{},,,Aventúrate en la montaña,,,,Excursión,4,17000,{},2026-10-05
,Salida con Amigos,78585,,115000,5,No disponible,115,,,,,,,National Geographic Expeditions,,,,,{},,{},,El Prat de LLobregat,,,,,{},,,Relájate en la playa,,,,Aventura,1,23000,{},2026-10-07
,Vacaciones,78587,2025-06-21,515000,1,No disponible,103,,,,,,,,,,,"{""Vista al mar"",""Servicio a la habitación"",Wifi,Baño,Jacuzzi}",{},,{},Suite en Gecho,,,3,2025-08-15,2025-08-20,{},Gustavo Alarcón Chavarría,+56 9 0258 6983,Experimenta el lujo y la comodidad en este alojamiento,5,5,4,,,,{},
57330,,78592,2025-01-10,300000,3,No disponible,300,adán8930846@viajes.cl,Logroño,La Coruña,42,1549,100000,ADO,2025-11-13,2025-11-14,Cama,"{Agua,""Asientos reclinables"",Baño}",{},,{},,,,,,,{},,,,,,,,,,{},
61153,,78595,2025-01-19,648000,3,No disponible,648,Sr.barreto199@viajes.cl,Oviedo,Torrejón de Ardoz,43,2655,216000,Qantas,2025-06-06,2025-06-07,,{},"{Algeciras,Oviedo}",Primera clase,{},,,,,,,{},,,,,,,,,,{},
58286,,78623,2025-03-01,72000,5,No disponible,360,,,,,,,,,,,"{Gimnasio,""Aire acondicionado"",Baño,Spa,""Servicio a la habitación""}",{},,{},Estudio en El Prat de LLobregat,El Prat de LLobregat,,4,2026-03-14,2026-03-15,{},Débora Mota Carrasquillo,+56 9 2519 0784,Disfruta de una estadía en el corazón de la ciudad,2,2,3,,,,{},
64235,,78644,,153000,3,No disponible,153,,,,40,,,Tripadvisor,,,,{},{},,{},,Torrelavega,,,,,{},,,Disfruta de un día en la naturaleza,,,,Aventura,6,51000,{},2025-04-02
63964,,78657,2025-06-05,567000,7,No disponible,,,,,46,,,Secret Escapes,,,,{},{},,{},,La Coruña,,,,,{},,,Aventúrate en la montaña,,,,Tour,3,81000,{},2026-01-12
,Aniversario,78661,2025-09-18,-532000,7,No disponible,532,,,,24,,,Secret Escapes,,,,,{},,{},,La Coruña,,,,,{},,,Disfruta de un día en la naturaleza,,,,Excursión,2,76000,{},2026-01-16
57306,,78666,2025-02-19,204000,3,No disponible,204,,,,16,,,Intrepid Travel,,,,{},{},,{},,Palma de Mallorca,,,,,{},,,Relájate en la playa,,,,Aventura,4,68000,{},2025-08-30
,Salida con Amigos,78669,2025-02-07,340000,4,No disponible,340,Carlosabeyta963@viajes.cl,Torremolinos,Algeciras,49,2022,85000,Avanza,2025-03-14,2025-03-15,Cama,"{Comida,Baño,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},
65501,,78681,2025-04-06,-264000,5,No disponible,440,,,,,,,,,,,"{Spa,TV,Piscina,""Servicio a la habitación"",Comida}",{},,{},Suite en Inca,Inca,88000,1,2025-08-24,2025-08-27,{},Teodoro Guardado Jurado,+56 9 9234 5468,Experimenta el lujo y la comodidad en este alojamiento,4,5,3,,,,{},
57499,,78701,2025-03-23,85000,1,No disponible,85,,,,19,,,G Adventures,,,,{},{},,{},,La Línea de la Concepción,,,,,{},,,Conoce la historia de la ciudad,,,,Aventura,,85000,{},2026-08-01
,Salida con Amigos,78710,2025-01-10,395000,5,No disponible,395,,,,38,,,National Geographic Expeditions,,,,{},{},,{},,,,,,,{},,,Conoce la historia de la ciudad,,,,Excursión,4,79000,{},2026-05-15
,,152148,,,,Disponible,0,,,,5,,,G Adventures,,,,{},{},,{},,Torrejón de Ardoz,,,,,{},,,,,,,Tour,6,53000,{},2025-10-13
,Salida con Familia,78716,2025-02-24,334000,2,No disponible,334,hunáme607@viajes.cl,Gecho,Avilés,45,4187,167000,Pullman Bus,2026-02-23,2026-02-25,Cama,"{Comida,Wifi,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cena de Trabajo,,2025-02-08,85000,2,No disponible,34,,,,,,,,,,,"{Balcón,Calefacción,Wifi,""Aire acondicionado"",Piscina}",{},,,Residencia en Murcia,Murcia,17000,4,2026-02-07,2026-02-12,,Sra. Mariana Echevarría Agosto,+56 9 7089 0178,Ideal para una escapada romántica,5,5,3,,,,{},
65694,,78753,2025-06-16,144000,2,No disponible,144,,,,15,,,Thomas Cook,,,,{},{},,{},,Jaén,,,,,{},,,Relájate en la playa,,,,Tour,1,72000,{},2026-02-18
,Vacaciones,78761,2026-01-04,396000,3,No disponible,,elisa6574220@viajes.cl,San Cristróbal de la Laguna,Ciudad Real,35,2935,132000,Futura,2026-10-13,2026-10-15,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Wifi}",{},,{},,,,,,,{},,,,,,,,,,{},
,Vacaciones,78767,2026-09-29,255000,3,,255,,,,7,,,Kuoni,,,,{},{},,{},,Ciudad Real,,,,,{},,,Aventúrate en la montaña,,,,Excursión,6,85000,{},2026-10-20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aniversario,78787,2025-04-27,584000,8,No disponible,584,,Oviedo,Torremolinos,32,364,73000,FlixBus,2026-06-09,2026-06-09,Cama,"{Agua,Calefacción,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,,
66032,,78796,2025-08-18,846000,6,No disponible,846,maangica654@viajes.cl,Reus,Guadalajara,38,2268,141000,Emirates,2026-01-09,2026-01-10,,{},"{Ceuta,""Santa Cruz de Tenerife""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
66032,,78797,2025-03-23,4260000,6,No disponible,852,,,,,,,,,,,"{""Servicio a la habitación"",Gimnasio,Agua,Calefacción,Wifi}",{},,{},Best Western Hotels & Resorts,Guadalajara,142000,,2026-01-10,2026-01-15,"{""No se permiten visitas"",""No se permite fumar"",""Check-in después de las 3 PM""}",,,,,,,,,,{},
,Cena de Trabajo,78808,,-144000,6,No disponible,144,Sra.madrid758@viajes.cl,Zamora,Oviedo,47,253,24000,WestJet,2026-01-20,2026-01-20,,{},{},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55808,,78818,2025-03-15,94000,2,No disponible,94,,,,10,,,Exodus Travels,,,,{},{},,{},,Ferrol,,,,,{},,,Conoce la historia de la ciudad,,,,Aventura,2,47000,{},2025-10-16
,Cena de Trabajo,78822,2025-08-29,248000,2,No disponible,248,vivimi661@viajes.cl,Ferrol,Gerona,37,661,124000,Greyhound,2025-10-20,2025-10-20,Cama,"{TV,Wifi,Comida}",{},,{},,,,,,,,,,,,,,,,,{},
65524,,78826,2026-07-28,600000,10,No disponible,600,,,,,,,Hays Travel,,,,{},{},,,,Castellón de la Plana,,,,,{},,,Disfruta de un día en la naturaleza,,,,,6,60000,{},2026-11-21
,Vacaciones,78832,2025-10-16,162000,10,No disponible,810,,,,,,,,,,,"{Gimnasio,Chimenea,Balcón,Agua,Comida}",{},,{},,Jerez de la Frontera,81000,2,2026-04-17,2026-04-19,{},Carmen Tamez Lucio,+56 9 7852 6560,Perfecto para familias y grupos grandes,4,3,2,,,,{},
60607,,78840,,1251000,9,No disponible,1251,sra.5633370@viajes.cl,Roquetas de Mar,Mataró,6,884,139000,Qatar Airways,2025-06-07,2025-06-07,,{},{Ceuta},Clase económica,,,,,,,,{},,,,,,,,,,{},
60607,,78846,2025-05-06,783000,9,No disponible,783,,,,17,,,Travel Leaders Group,,,,,{},,{},,Gecho,,,,,{},,,Aventúrate en la montaña,,,,Aventura,2,87000,{},2025-06-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60063,,78850,2025-02-03,29000,1,No disponible,29,,,,,,,,,,,"{Piscina,Calefacción,Wifi,Gimnasio,""Aire acondicionado""}",{},,{},Caesars Entertainment,La Línea de la Concepción,29000,1,2025-03-31,2025-04-01,"{""No se permiten visitas"",""No se permiten mascotas"",""Check-in después de las 3 PM""}",,,,,,,,,,{},
60171,,78855,2025-02-24,405000,5,No disponible,405,,,,11,,,Kuoni,,,,{},{},,{},,Gandía,,,,,{},,,Aventúrate en la montaña,,,,Excursión,2,,{},2025-12-24
62038,,78862,2026-04-16,315000,5,No disponible,315,Anasaldivar985@viajes.cl,Orihuela,Torremolinos,31,808,63000,Pullman Bus,2026-05-17,2026-05-17,Cama,"{Comida,TV,Agua}",{},,{},,,,,,,{},,,,,,,,,,{},
,Cena de Trabajo,,2025-02-12,1494000,9,No disponible,-1494,Sra.ruelas269@viajes.cl,Arrecife,Móstoles,59,2940,166000,ŽFBH (Bosnia y Herzegovina),2026-04-23,2026-04-25,,"{TV,Baño,""Aire acondicionado"",Wifi,Comida,""Asientos reclinables""}",{},,"{Torrevieja,Mérida,Lérida,Gecho,Baracaldo}",,,,,,,{},,,,,,,,,,{},
,Salida con Familia,78877,2025-02-01,213000,3,No disponible,213,juan8830456@viajes.cl,Gandía,Jerez de la Frontera,43,1513,71000,BoltBus,2025-05-17,2025-05-18,Cama,"{""Aire acondicionado"",Baño,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},
62701,,78893,2025-03-24,462000,,No disponible,462,huciap119@viajes.cl,Valencia,Lorca,24,1444,154000,Alaska Airlines,2025-08-15,2025-08-16,,,"{Cartagena,""Pozuelo de Alarcón""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
57419,,78898,2025-12-04,290000,7,No disponible,1015,,,,,,,,,,,"{""Servicio a la habitación"",Agua,Jacuzzi,""Vista al mar"",Piscina}",{},,{},Residencia en Tarrasa,Tarrasa,145000,2,2026-01-20,2026-01-22,{},Mariano Villa Enríquez,+56 2 5606 5362,Perfecto para familias y grupos grandes,6,6,3,,,,{},
,Aniversario,78901,2025-08-13,1504000,8,No disponible,1504,reocpo678@viajes.cl,Santiago de Compostela,Roquetas de Mar,86,2888,188000,,2025-10-31,2025-11-02,,,{},,{},,,,,,,{},,,,,,,,,,{},
,Salida con Amigos,78914,2026-04-19,540000,3,No disponible,270,,,,,,,,,,,"{Spa,Balcón,Jacuzzi,""Vista al mar"",""Servicio a la habitación""}",{},,{},Casa en Elche,Elche,90000,4,2026-08-20,2026-08-26,{},Ricardo Varela Nieves,+56 2 4370 4017,Disfruta de una estadía en el corazón de la ciudad,5,4,2,,,,{},
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
