agenda_id,etiqueta,id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama
63299,Cena de Trabajo,78415,2025-05-13,-784000,,No disponible,896,,,,,,,,,,,"{Wifi,Comida,""Asientos reclinables"",Spa,Calefacción}",{},,{},Loft en Santa Lucía de Tirajana,Santa Lucía de Tirajana,112000,4,2026-08-22,2026-08-29,{},Marcos Domínquez Nava,+56 2 4479 6497,Ideal para una escapada romántica,4,6,3,,,,{},
56258,Salida con Familia,78487,2025-02-19,110000,9,No disponible,990,,,,,,,,,,,"{Spa,Calefacción,Balcón,""Vista al mar"",""Asientos reclinables""}",{},,{},Estudio en Avilés,Avilés,110000,5,2025-12-14,2025-12-15,{},Carla Leal Duarte,+56 2 5600 5239,Disfruta de una estadía en el corazón de la ciudad,6,4,,,,,{},
58036,Vacaciones,78495,2025-05-13,615000,9,No disponible,1107,,,,,,,,,,,"{""Asientos reclinables"",Baño,Gimnasio,Spa,Chimenea}",,,{},Residencia en Torrelavega,Torrelavega,-123000,2,2026-03-23,2026-03-28,{},Juana Sisneros Varela,+56 2 5692 2230,Ideal para una escapada romántica,6,6,3,,,,{},
60218,Aniversario,78518,2025-10-13,96000,3,No disponible,-288,,,,,,,,,,,"{Gimnasio,TV,Spa,Jacuzzi,""Vista al mar""}",{},,{},Villa en Pamplona,Pamplona,96000,1,2026-08-13,2026-08-14,{},Sra. Pablo Barreto Alicea,+56 2 1077 6872,Ubicación céntrica con fácil acceso a atracciones turísticas,3,3,2,,,,{},
64314,Salida con Amigos,78568,2025-01-26,6000,9,No disponible,54,,,,,,,,,,,"{""Asientos reclinables"",Comida,TV,Spa,Jacuzzi}",{},,{},Departamento en Manresa,Manresa,6000,2,,2025-08-23,{},José María Sarabia Amaya,+56 9 0896 4377,Relájate en un lugar tranquilo y acogedor,5,5,1,,,,{},
61764,Salida con Familia,78570,2025-04-14,,1,No disponible,18,,,,,,,,,,,"{Comida,Wifi,Balcón,Chimenea,TV}",,,{},Habitación en Cerdañola del Vallés,Cerdañola del Vallés,18000,4,2025-05-11,2025-05-14,{},Juan Carlos Ibarra Reynoso,,Relájate en un lugar tranquilo y acogedor,4,3,3,,,,{},
,Vacaciones,78587,2025-06-21,515000,1,No disponible,103,,,,,,,,,,,"{""Vista al mar"",""Servicio a la habitación"",Wifi,Baño,Jacuzzi}",{},,{},Suite en Gecho,,,3,2025-08-15,2025-08-20,{},Gustavo Alarcón Chavarría,+56 9 0258 6983,Experimenta el lujo y la comodidad en este alojamiento,5,5,4,,,,{},
58286,,78623,2025-03-01,72000,5,No disponible,360,,,,,,,,,,,"{Gimnasio,""Aire acondicionado"",Baño,Spa,""Servicio a la habitación""}",{},,{},Estudio en El Prat de LLobregat,El Prat de LLobregat,,4,2026-03-14,2026-03-15,{},Débora Mota Carrasquillo,+56 9 2519 0784,Disfruta de una estadía en el corazón de la ciudad,2,2,3,,,,{},
61637,Cena de Trabajo,78626,2025-01-05,1050000,4,No disponible,600,,,,,,,,,,,"{Jacuzzi,Piscina,Baño,""Vista al mar"",Wifi}",{},,{},Villa en Orense,Orense,-150000,3,2026-02-02,2026-02-09,{},Sr. Alejandro Montaño Balderas,+56 9 4640 7218,Experimenta el lujo y la comodidad en este alojamiento,5,6,4,,,,{},
61637,Cena de Trabajo,78634,2025-06-01,291000,,No disponible,388,,,,,,,,,,,"{TV,Jacuzzi,Piscina,Baño,Gimnasio}",{},,{},Suite en Benidorm,,97000,3,2026-02-09,2026-02-12,{},Lorena Tirado Granados,+56 2 2799 5379,Disfruta de una estadía en el corazón de la ciudad,5,5,2,,,,,
63964,Aniversario,78649,2025-02-18,475000,7,No disponible,,,,,,,,,,,,"{Spa,Jacuzzi,TV,Chimenea,""Asientos reclinables""}",{},,{},Departamento en Lorca,Lorca,95000,2,2026-01-03,2026-01-08,{},Tomás Delgado Colón,+56 9 2152 3047,Relájate en un lugar tranquilo y acogedor,4,4,2,,,,{},
63964,Aniversario,78655,2025-12-28,,7,No disponible,735,,,,,,,,,,,"{""Aire acondicionado"",""Servicio a la habitación"",Jacuzzi,Gimnasio,Wifi}",{},,{},Estudio en La Coruña,La Coruña,105000,1,2026-01-10,2026-01-17,{},Sra. Juan Carvajal Acevedo,+56 9 8489 5177,,6,4,4,,,,{},
65501,,78681,2025-04-06,-264000,5,No disponible,440,,,,,,,,,,,"{Spa,TV,Piscina,""Servicio a la habitación"",Comida}",{},,{},Suite en Inca,Inca,88000,1,2025-08-24,2025-08-27,{},Teodoro Guardado Jurado,+56 9 9234 5468,Experimenta el lujo y la comodidad en este alojamiento,4,5,3,,,,{},
59495,Salida con Amigos,78713,2026-03-28,21000,5,No disponible,,,,,,,,,,,,"{""Asientos reclinables"",Calefacción,Gimnasio,Baño,TV}",{},,{},Loft en Benalmádena,Benalmádena,7000,5,2026-05-19,2026-05-22,{},Conchita Muro Toro,+56 2 4088 9895,Ubicación céntrica con fácil acceso a atracciones turísticas,1,2,1,,,,{},
60783,Salida con Amigos,78729,2026-01-08,36000,1,No disponible,6,,,,,,,,,,,,{},,,Hostal en Ciudad Real,Ciudad Real,6000,5,2026-02-22,2026-02-28,{},Sr. Armando Gil Sevilla,+56 2 6399 1507,Ubicación céntrica con fácil acceso a atracciones turísticas,5,1,,,,,{},
