agenda_id,etiqueta,id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama
58690,Salida con Amigos,78461,2025-11-15,520000,2,No disponible,520,ocfoco566@viajes.cl,Telde,Sabadell,42,3542,,Turkish Airlines,2026-03-01,2026-03-03,,{},{Burgos},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
58690,Salida con Amigos,78462,2025-10-25,190000,2,No disponible,,irjavá534@viajes.cl,Sabadell,Murcia,64,2432,,Alaska Airlines,,2026-03-04,,{},"{Linares,""Ciudad Real""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
,Salida con Familia,78491,2025-01-20,762000,3,No disponible,762,alcegá275@viajes.cl,Ciudad Real,Torrelavega,12,2499,,Iberia,2026-03-05,2026-03-06,,{},{},Primera clase,{},,,,,,,{},,,,,,,,,,{},
66118,Salida con Familia,78492,2025-09-25,501000,3,No disponible,501,Bernardoelizondo645@viajes.cl,Torrelavega,Motril,32,2955,167000,American Airlines,2026-03-06,2026-03-08,,{},"{Málaga,Pamplona}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
66118,Salida con Familia,78493,2025-10-12,576000,3,No disponible,576,,Motril,Tarrasa,36,199,192000,Qantas,2026-03-08,2026-03-08,,{},,Clase económica,{},,,,,,,,,,,,,,,,,{},
58036,Vacaciones,78494,,1017000,9,No disponible,1017,Marcoharo601@viajes.cl,Las Palmas de Gran Canaria,Torrelavega,11,,113000,Singapore Airlines,2026-03-23,,,{},{Sabadell},Clase económica,{},,,,,,,{},,,,,,,,,,{},
59050,Aniversario,78543,2025-06-26,920000,8,No disponible,920,suhemá328@viajes.cl,,Orense,32,981,115000,,2025-07-04,,,{},{},Clase económica,,,,,,,,{},,,,,,,,,,{},
59050,Aniversario,78544,2025-01-14,960000,,No disponible,960,Marcelajaimes783@viajes.cl,Orense,El Ejido,4,1541,120000,,,2025-07-05,,{},"{Salamanca,Gerona}",Clase económica,{},,,,,,,{},,,,,,,,,,{},
66513,Cena de Trabajo,78573,2025-06-01,1144000,8,No disponible,1144,roberto9633370@viajes.cl,Collado Villalba,Huelva,9,1339,-143000,Avianca,2026-06-26,2026-06-26,,{},{Mataró},Clase económica,{},,,,,,,{},,,,,,,,,,{},
55864,Salida con Amigos,78578,2026-06-17,375000,5,No disponible,375,Óscarreséndez914@viajes.cl,Orihuela,Gerona,64,1364,75000,JetBlue,2026-10-01,2026-10-01,,{},,Clase económica,,,,,,,,{},,,,,,,,,,{},
55864,Salida con Amigos,78579,2025-06-16,375000,5,No disponible,375,marta9050347@viajes.cl,Gerona,San Sebastián,63,1416,75000,Air New Zealand,2026-10-01,2026-10-01,,{},{},Clase económica,{},,,,,,,{},,,,,,,,,,{},
56632,Vacaciones,78586,2025-02-26,125000,1,No disponible,125,Esperanzazapata304@viajes.cl,Motril,Gecho,51,1588,-125000,Spirit Airlines,2025-08-14,,,{},"{""San Sebastián""}",Clase económica,{},,,,,,,{},,,,,,,,,,{},
61153,,78595,2025-01-19,648000,3,No disponible,648,Sr.barreto199@viajes.cl,Oviedo,Torrejón de Ardoz,43,2655,216000,Qantas,2025-06-06,2025-06-07,,{},"{Algeciras,Oviedo}",Primera clase,{},,,,,,,{},,,,,,,,,,{},
61153,Aniversario,78596,2025-05-07,657000,3,No disponible,657,Ernestobarraza502@viajes.cl,Torrejón de Ardoz,,59,2742,219000,British Airways,2025-06-07,2025-06-08,,{},{Tarrasa},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
57306,Cena de Trabajo,78662,2025-06-09,1467000,3,No disponible,1467,Elvirarazo717@viajes.cl,San Sebastían de los Reyes,Palma de Mallorca,4,3956,489000,Aeroméxico,2025-08-25,2025-08-27,,{},"{Parla,""Sanlúcar de Barrameda"",""Molina de Segura"",Telde,Estepona}",Primera clase,{},,,,,,,{},,,,,,,,,,{},
57306,Cena de Trabajo,78667,2025-06-26,846000,3,No disponible,846,pevade874@viajes.cl,Palma de Mallorca,Almería,76,2983,282000,Turkish Airlines,,2025-09-02,,{},{Fuengirola},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
57306,Cena de Trabajo,78668,,369000,3,No disponible,369,Dianarubio903@viajes.cl,Almería,Valdemoro,15,1533,123000,All Nippon Airways (ANA),2025-09-02,2025-09-03,,{},{},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
60783,Salida con Amigos,78726,,,1,No disponible,31,jerónimo1946618@viajes.cl,Telde,Getafe,71,1293,31000,EasyJet,2026-02-19,2026-02-19,,{},{},Clase económica,{},,,,,,,{},,,,,,,,,,{},
61264,Aniversario,78759,2025-06-26,30000,6,No disponible,30,victoria3901472@viajes.cl,,Jaén,48,563,5000,Southwest Airlines,2025-07-07,2025-07-07,,{},{},Clase económica,{},,,,,,,{},,,,,,,,,,{},
65529,Salida con Amigos,78786,2025-05-12,161000,1,No disponible,161,Benjamínjiménez670@viajes.cl,Huelva,Jerez de la Frontera,66,590,161000,Copa Airlines,2026-05-25,2026-05-25,,{},{},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
66032,,78796,2025-08-18,846000,6,No disponible,846,maangica654@viajes.cl,Reus,Guadalajara,38,2268,141000,Emirates,2026-01-09,2026-01-10,,{},"{Ceuta,""Santa Cruz de Tenerife""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
66032,Cena de Trabajo,78802,2025-04-03,972000,6,No disponible,972,alejandra1046907@viajes.cl,Guadalajara,Zamora,90,685,162000,Alaska Airlines,,2026-01-15,,{},{},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
,Cena de Trabajo,78808,,-144000,6,No disponible,144,Sra.madrid758@viajes.cl,Zamora,Oviedo,47,253,24000,WestJet,2026-01-20,2026-01-20,,{},{},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
60607,,78840,,1251000,9,No disponible,1251,sra.5633370@viajes.cl,Roquetas de Mar,Mataró,6,884,139000,Qatar Airways,2025-06-07,2025-06-07,,{},{Ceuta},Clase económica,,,,,,,,{},,,,,,,,,,{},
60607,Salida con Amigos,78842,2025-02-05,450000,9,No disponible,450,,Mataró,Santander,66,801,50000,All Nippon Airways (ANA),2025-06-08,2025-06-08,,{},{Marbella},Clase económica,{},,,,,,,{},,,,,,,,,,{},
60607,Salida con Amigos,78843,2025-01-13,963000,9,No disponible,963,caruca852@viajes.cl,Santander,Gecho,39,647,107000,Ethiopian Airlines,2025-06-08,2025-06-08,,{},{},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,,
64201,Salida con Amigos,78879,,213000,3,No disponible,213,Sr.calvillo603@viajes.cl,Leganés,Talavera de la Reina,70,1658,71000,Air France,2026-06-16,2026-06-17,,{},"{""Hospitalet de LLobregat""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
64201,Salida con Amigos,78881,,486000,3,No disponible,486,sradgamo870@viajes.cl,Talavera de la Reina,Pozuelo de Alarcón,51,2745,162000,Ethiopian Airlines,2026-06-18,2026-06-19,,{},"{""Collado Villalba""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
62701,Cena de Trabajo,78889,2025-02-27,258000,3,No disponible,258,,Dos Hermanas,Ciudad Real,70,736,86000,WestJet,2025-08-13,2025-08-13,,{},{},Clase económica,{},,,,,,,{},,,,,,,,,,,
62701,Cena de Trabajo,78890,2025-02-19,393000,3,No disponible,393,Maríarodarte813@viajes.cl,Ciudad Real,Valencia,78,428,131000,Air Canada,2025-08-13,2025-08-13,,{},{},Clase económica,{},,,,,,,{},,,,,,,,,,{},
62701,,78893,2025-03-24,462000,,No disponible,462,huciap119@viajes.cl,Valencia,Lorca,24,1444,154000,Alaska Airlines,2025-08-15,2025-08-16,,,"{Cartagena,""Pozuelo de Alarcón""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
,Vacaciones,78939,2025-12-23,1227000,3,No disponible,1227,daparu776@viajes.cl,San Sebastían de los Reyes,Badajoz,18,4039,409000,United Airlines,2026-04-04,2026-04-06,,{},"{Burgos,Zamora,Orihuela}",Primera clase,{},,,,,,,{},,,,,,,,,,,
65699,Salida con Amigos,78964,2026-01-02,1240000,10,No disponible,1240,estela8925147@viajes.cl,Alcobendas,Lérida,83,162,124000,Turkish Airlines,2026-01-29,,,{},{},Clase económica,{},,,,,,,{},,,,,,,,,,{},
65699,Salida con Amigos,78965,2026-01-09,1170000,10,No disponible,1170,irene5185859@viajes.cl,Lérida,Rubí,29,1860,117000,Avianca,,2026-01-30,,{},{},Clase económica,{},,,,,,,{},,,,,,,,,,{},
57095,Cena de Trabajo,78973,2025-08-22,1220000,,No disponible,1220,irene2022687@viajes.cl,Murcia,Telde,91,3441,305000,Qatar Airways,2026-04-03,2026-04-05,,{},"{Motril,""Las Palmas de Gran Canaria"",""Ciudad Real""}",Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
60365,Vacaciones,79023,2025-03-20,2240000,,No disponible,2240,amalia8518314@viajes.cl,Mataró,Paterna,,2815,280000,Air France,2025-04-13,2025-04-14,,{},"{""Cerdañola del Vallés"",""Roquetas de Mar""}",Primera clase,{},,,,,,,{},,,,,,,,,,{},
60365,Vacaciones,79031,2025-02-19,1440000,8,No disponible,1440,maría6928605@viajes.cl,Paterna,Las Palmas de Gran Canaria,54,508,180000,Air Canada,2025-04-21,2025-04-21,,,{},Clase económica,{},,,,,,,{},,,,,,,,,,{},
66237,Vacaciones,79036,2025-02-08,309000,3,No disponible,309,gustavo8952191@viajes.cl,Torremolinos,San Cristróbal de la Laguna,44,1357,103000,Lufthansa,2026-03-15,2026-03-15,,{},{},Clase económica,{},,,,,,,{},,,,,,,,,,{},
62976,Salida con Amigos,79053,2025-01-22,60000,1,No disponible,60,rosa4990751@viajes.cl,Mollet del Vallés,Bilbao,11,1757,60000,Avianca,,2025-03-01,,{},{Zamora},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
58144,,79054,2025-08-02,1176000,6,No disponible,1176,eloisa2231587@viajes.cl,Alcoy,Cerdañola del Vallés,100,4209,-196000,Air France,2026-02-11,2026-02-13,,{},"{Calahorra,Cáceres,Rivas-Vaciamadrid}",Primera clase,{},,,,,,,{},,,,,,,,,,{},
58144,Vacaciones,79055,2025-10-02,1824000,6,No disponible,1824,Claudiocantú636@viajes.cl,Cerdañola del Vallés,Vitoria,93,3694,-304000,Vueling,2026-02-13,2026-02-15,,{},"{Elche,Lugo,Puertollano,""Palma de Mallorca"",""Santiago de Compostela""}",Primera clase,{},,,,,,,{},,,,,,,,,,{},
60574,Salida con Familia,79097,2025-01-24,141000,1,No disponible,141,jarear931@viajes.cl,Pamplona,Gandía,23,1129,141000,Frontier Airlines,2025-02-03,2025-02-03,,{},{Bilbao},Clase económica,{},,,,,,,{},,,,,,,,,,{},
60574,Salida con Familia,79098,2025-01-20,325000,1,No disponible,325,,Gandía,,72,3241,325000,Air Canada,2025-02-03,2025-02-05,,{},"{Sevilla,Ávila}",Primera clase,{},,,,,,,{},,,,,,,,,,{},
57829,Vacaciones,79101,2025-10-02,936000,9,No disponible,936,grjaig399@viajes.cl,Hospitalet de LLobregat,La Coruña,88,818,,British Airways,2026-02-20,2026-02-20,,{},{Rubí},Clase económica,{},,,,,,,{},,,,,,,,,,{},
57829,Vacaciones,79106,2025-09-12,828000,9,No disponible,828,anbuve503@viajes.cl,La Coruña,Chiclana de la Frontera,11,1323,92000,Japan Airlines,2026-02-24,2026-02-24,,{},{},Clase económica,{},,,,,,,{},,,,,,,,,,{},
57829,Vacaciones,79110,2025-08-27,-2178000,9,No disponible,2178,mazeha128@viajes.cl,Chiclana de la Frontera,Málaga,56,4313,242000,,2026-02-27,2026-03-01,,{},,Primera clase,{},,,,,,,{},,,,,,,,,,{},
64987,,79137,2025-03-04,656000,8,No disponible,656,leonor9451196@viajes.cl,Estepona,Cáceres,65,449,82000,Southwest Airlines,2025-08-17,2025-08-17,,{},{},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},
