agenda_id,etiqueta,id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama
56422,Salida con Amigos,78447,2025-03-16,,8,No disponible,1512,,Telde,Badajoz,37,733,189000,ETN Turistar,2026-02-25,2026-02-25,Cama,,{},,{},,,,,,,{},,,,,,,,,,,
56422,Salida con Amigos,78455,2025-10-12,1008000,8,No disponible,1008,,Badajoz,Huelva,34,4042,126000,ETN Turistar,2026-03-04,2026-03-06,Cama,"{Calefacción,Wifi,TV}",{},,{},,,,,,,{},,,,,,,,,,{},
59970,Cena de Trabajo,78475,2025-10-26,188000,2,No disponible,-188,srsacona119@viajes.cl,Puertollano,Irún,32,688,94000,Chevallier,,,Cama,"{Comida,Baño,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},
56258,Salida con Familia,78486,2025-07-15,963000,9,No disponible,,Sra.madrigal710@viajes.cl,Pontevedra,Avilés,33,2289,107000,Buses Nilahue,2025-12-13,2025-12-14,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Baño}",{},,{},,,,,,,,,,,,,,,,,{},
64804,Salida con Familia,78488,2025-04-07,200000,8,No disponible,-200,Doloresroybal738@viajes.cl,Mérida,Toledo,31,288,25000,Greyhound,2025-06-08,2025-06-08,Normal,"{Calefacción,Comida,""Aire acondicionado""}",,,{},,,,,,,{},,,,,,,,,,{},
64804,Salida con Familia,78489,2025-01-23,1000000,8,No disponible,1000,,Toledo,Pozuelo de Alarcón,49,3878,,BoltBus,,2025-06-10,Cama,"{Wifi,Baño,Agua}",{},,{},,,,,,,{},,,,,,,,,,{},
62127,Aniversario,78523,2025-04-09,644000,7,No disponible,644,Raquelholguín560@viajes.cl,Valencia,,39,3551,92000,ETN Turistar,2026-11-13,2026-11-15,Cama,"{Calefacción,""Aire acondicionado"",Comida}",{},,{},,,,,,,{},,,,,,,,,,{},
62127,Aniversario,78524,2025-08-28,826000,7,No disponible,826,arroqu741@viajes.cl,Majadahonda,El Puerto de Santa María,34,598,118000,Monbus,2026-11-15,2026-11-15,Semi-cama,"{TV,Baño,""Aire acondicionado""}",{},,{},,,,,,,{},,,,,,,,,,{},
57365,Cena de Trabajo,78551,2025-01-07,800000,8,No disponible,800,ángela4947162@viajes.cl,Estepona,Lugo,47,911,100000,Damas,2025-06-04,2025-06-04,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Wifi}",{},,{},,,,,,,{},,,,,,,,,,{},
57365,Cena de Trabajo,78559,2025-02-27,1040000,8,No disponible,1040,antonio1796431@viajes.cl,Reus,Linares,41,978,130000,Buses Bio Bio,2025-06-11,2025-06-11,Cama,"{Agua,Baño,Comida}",,,,,,,,,,{},,,,,,,,,,{},
60241,Salida con Familia,78563,2025-02-07,952000,7,No disponible,952,issaol705@viajes.cl,Madrid,Valladolid,50,1930,136000,Flecha Bus,2026-10-09,2026-10-10,Cama,"{TV,""Aire acondicionado"",Comida}",{},,{},,,,,,,,,,,,,,,,,{},
,Salida con Familia,78569,2025-04-04,98000,1,No disponible,98,elcopa658@viajes.cl,Cuenta,Cerdañola del Vallés,39,3301,98000,Damas,2025-05-09,2025-05-11,Cama,"{Calefacción,Baño,Wifi}",{},,{},,,,,,,{},,,,,,,,,,{},
57330,,78592,2025-01-10,300000,3,No disponible,300,adán8930846@viajes.cl,Logroño,La Coruña,42,1549,100000,ADO,2025-11-13,2025-11-14,Cama,"{Agua,""Asientos reclinables"",Baño}",{},,{},,,,,,,{},,,,,,,,,,{},
58286,Vacaciones,78622,2025-12-01,310000,5,No disponible,310,ignacio1104447@viajes.cl,Torremolinos,El Prat de LLobregat,31,641,,Pullman Bus,2026-03-14,2026-03-14,Cama,"{""Aire acondicionado"",Comida,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},
64235,Vacaciones,78637,2025-02-19,453000,3,No disponible,,,Alcoy,León,37,1313,151000,Monbus,2025-03-27,2025-03-27,Cama,"{Calefacción,Agua,""Asientos reclinables""}",{},,,,,,,,,{},,,,,,,,,,{},
64235,Vacaciones,78642,2025-02-11,-246000,3,No disponible,246,elcopa658@viajes.cl,León,Torrelavega,40,2449,82000,Plusmar,2025-03-31,2025-04-01,Cama,"{Agua,Wifi,""Aire acondicionado""}",{},,{},,,,,,,,,,,,,,,,,{},
63964,Aniversario,78654,2025-02-09,672000,7,No disponible,672,sonia8445310@viajes.cl,Lorca,La Coruña,33,3501,96000,Monbus,2026-01-08,2026-01-10,Cama,"{Wifi,TV,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},
61565,Salida con Amigos,78676,2025-02-12,252000,4,No disponible,252,stellach993@viajes.cl,Algeciras,Ceuta,42,1955,63000,,2025-03-21,,Cama,"{Wifi,Comida,Baño}",{},,{},,,,,,,,,,,,,,,,,{},
65501,Aniversario,78680,2025-03-15,280000,5,No disponible,280,esmoma578@viajes.cl,Castellón de la Plana,Inca,48,3709,56000,Flecha Bus,2025-08-22,2025-08-24,Cama,"{Comida,Wifi,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,,
65501,Aniversario,78684,2025-04-04,345000,5,No disponible,345,Clarasaldaña655@viajes.cl,Inca,El Ejido,36,1217,-69000,EME Bus,2025-08-27,2025-08-27,Cama,"{""Asientos reclinables"",Calefacción,Baño}",{},,{},,,,,,,{},,,,,,,,,,{},
55808,Cena de Trabajo,78815,2025-09-03,282000,2,No disponible,282,maría8660779@viajes.cl,Toledo,,38,,141000,ETN Turistar,2025-10-12,2025-10-14,Cama,"{Agua,""Asientos reclinables"",Comida}",,,{},,,,,,,,,,,,,,,,,{},
,Salida con Familia,78716,2025-02-24,334000,2,No disponible,334,hunáme607@viajes.cl,Gecho,Avilés,45,4187,167000,Pullman Bus,2026-02-23,2026-02-25,Cama,"{Comida,Wifi,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},
60402,Salida con Amigos,78735,2025-02-04,356000,2,No disponible,356,,Sevilla,San Sebastián,33,1599,178000,Via Bariloche,2026-01-02,2026-01-03,Cama,"{Comida,Baño,""Aire acondicionado""}",{},,{},,,,,,,{},,,,,,,,,,{},
,Vacaciones,78761,2026-01-04,396000,3,No disponible,,elisa6574220@viajes.cl,San Cristróbal de la Laguna,Ciudad Real,35,2935,132000,Futura,2026-10-13,2026-10-15,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Wifi}",{},,{},,,,,,,{},,,,,,,,,,{},
64251,Vacaciones,78768,2025-12-29,348000,3,No disponible,348,Patriciaadame600@viajes.cl,Ciudad Real,Baracaldo,50,1427,116000,JetSur,2026-10-21,2026-10-21,Cama,"{""Aire acondicionado"",Calefacción,Wifi}",{},,{},,,,,,,{},,,,,,,,,,{},
,Aniversario,78787,2025-04-27,584000,8,No disponible,584,,Oviedo,Torremolinos,32,364,73000,FlixBus,2026-06-09,2026-06-09,Cama,"{Agua,Calefacción,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,,
63963,Aniversario,78794,2025-06-15,-1480000,8,No disponible,1480,hugo989362@viajes.cl,Torremolinos,La Línea de la Concepción,35,2667,185000,Primera Plus,2026-06-15,2026-06-16,Cama,"{Agua,Calefacción,Comida}",{},,{},,,,,,,{},,,,,,,,,,,
64406,Cena de Trabajo,78809,2025-01-06,1584000,9,No disponible,,crrelo319@viajes.cl,Torrevieja,Santa Cruz de Tenerife,44,709,176000,Buses Romani,2025-01-11,2025-01-11,Cama,"{Baño,TV,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},
64406,Cena de Trabajo,78810,2025-01-01,945000,9,,945,srsolláv959@viajes.cl,Santa Cruz de Tenerife,Valdemoro,48,1018,105000,EME Bus,2025-01-11,,Cama,"{Wifi,TV,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},
,Cena de Trabajo,78822,2025-08-29,248000,2,No disponible,248,vivimi661@viajes.cl,Ferrol,Gerona,37,661,124000,Greyhound,2025-10-20,2025-10-20,Cama,"{TV,Wifi,Comida}",{},,{},,,,,,,,,,,,,,,,,{},
62863,Vacaciones,78828,2025-06-14,730000,10,No disponible,730,Pedroolivárez339@viajes.cl,,Collado Villalba,46,1590,73000,Andesmar,2026-04-12,2026-04-13,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Comida}",{},,{},,,,,,,{},,,,,,,,,,{},
55765,Aniversario,78834,2025-04-04,1730000,10,No disponible,1730,Sra.martínez127@viajes.cl,Sanlúcar de Barrameda,Algeciras,50,,173000,Crucero del Norte,2025-07-09,2025-07-11,Cama,"{Wifi,""Aire acondicionado"",Baño}",{},,{},,,,,,,{},,,,,,,,,,{},
55765,Aniversario,78836,2025-04-14,500000,10,No disponible,500,Sra.alanis701@viajes.cl,Algeciras,Majadahonda,43,1062,50000,Estrella Roja,,,Cama,"{""Asientos reclinables"",Wifi,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},
55892,Salida con Familia,78838,2025-04-05,1458000,9,,1458,Danielacamarillo683@viajes.cl,San Fernando,Getafe,44,637,162000,El Rápido Internacional,2025-07-29,2025-07-29,Cama,"{Agua,Wifi,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},
