agenda_id,etiqueta,id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama
63299,Cena de Trabajo,78415,2025-05-13,-784000,,No disponible,896,,,,,,,,,,,"{Wifi,Comida,""Asientos reclinables"",Spa,Calefacción}",{},,{},Loft en Santa Lucía de Tirajana,Santa Lucía de Tirajana,112000,4,2026-08-22,2026-08-29,{},Marcos Domínquez Nava,+56 2 4479 6497,Ideal para una escapada romántica,4,6,3,,,,{},
57773,Salida con Amigos,78425,2025-01-28,5208000,7,No disponible,-868,,,,,,,,,,,"{""Asientos reclinables"",""Servicio a la habitación"",TV,Baño,Piscina}",{},,{},Six Senses Hotels Resorts Spas,Motril,124000,5,2026-10-29,2026-11-04,"{""No se permite fumar"",""No se permiten mascotas"",""No se permiten fiestas""}",,,,,,,,,,{},
58310,Salida con Familia,78432,2025-06-29,-1974000,6,No disponible,282,,,,,,,,,,,"{Comida,""Servicio a la habitación"",""Asientos reclinables"",Wifi,Piscina}",{},,{},Six Senses Hotels Resorts Spas,Toledo,47000,4,2025-08-11,2025-08-18,"{""No se permiten mascotas"",""Check-out antes de las 11 AM"",""Silencio después de las 10 PM""}",,,,,,,,,,{},
65218,Salida con Familia,78442,2025-01-10,505000,4,No disponible,,,,,,,,,,,,"{Piscina,""Aire acondicionado"",Jacuzzi,Spa,Balcón}",{},,{},Habitación en Torrevieja,Torrevieja,,5,2026-04-15,,{},,+56 9 7562 8459,Aventúrate en la naturaleza y descansa en un lugar cómodo,6,5,3,,,,,
59970,Cena de Trabajo,78476,2025-12-23,-1056000,2,No disponible,176,,,,,,,,,,,"{TV,""Asientos reclinables"",Piscina,Baño,Agua}",{},,{},The Ritz-Carlton,Irún,88000,2,2026-07-16,2026-07-22,"{""No se permiten fiestas"",""Check-in después de las 3 PM"",""No se permite fumar""}",,,,,,,,,,,
60934,Vacaciones,78483,,1251000,9,No disponible,1251,,,,,,,,,,,"{Comida,""Servicio a la habitación"",Baño,Gimnasio,TV}",{},,{},NH Hotel Group,Sevilla,,1,2025-11-25,2025-11-26,"{""No se permiten fiestas"",""No se permite fumar"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},
58036,Vacaciones,78495,2025-05-13,615000,9,No disponible,1107,,,,,,,,,,,"{""Asientos reclinables"",Baño,Gimnasio,Spa,Chimenea}",,,{},Residencia en Torrelavega,Torrelavega,-123000,2,2026-03-23,2026-03-28,{},Juana Sisneros Varela,+56 2 5692 2230,Ideal para una escapada romántica,6,6,3,,,,{},
60218,Aniversario,78512,,1935000,3,No disponible,-387,,,,,,,,,,,"{Calefacción,Agua,Spa,""Aire acondicionado"",Comida}",{},,{},Belmond,Irún,129000,1,2026-08-07,2026-08-12,"{""No se permiten mascotas"",""Check-in después de las 3 PM"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},
60218,Aniversario,78518,2025-10-13,96000,3,No disponible,-288,,,,,,,,,,,"{Gimnasio,TV,Spa,Jacuzzi,""Vista al mar""}",{},,{},Villa en Pamplona,Pamplona,96000,1,2026-08-13,2026-08-14,{},Sra. Pablo Barreto Alicea,+56 2 1077 6872,Ubicación céntrica con fácil acceso a atracciones turísticas,3,3,2,,,,{},
61892,Salida con Familia,78531,,-447000,1,No disponible,149,,,,,,,,,,,,{},,{},Belmond,Roquetas de Mar,149000,1,2025-07-07,2025-07-10,"{""No se permiten mascotas"",""No se permiten visitas"",""No se permite fumar""}",,,,,,,,,,{},
57365,Cena de Trabajo,78552,2025-04-25,4920000,8,No disponible,984,,,,,,,,,,,"{TV,Wifi,Calefacción,Spa,""Asientos reclinables""}",{},,{},Drury Hotels,Lugo,123000,1,,2025-06-09,"{""Check-in después de las 3 PM"",""Silencio después de las 10 PM"",""No se permiten mascotas""}",,,,,,,,,,{},
65378,Salida con Familia,78561,2025-04-24,584000,8,No disponible,584,,,,,,,,,,,"{Calefacción,Gimnasio,Piscina,""Aire acondicionado"",Spa}",{},,{},AccorHotels,,73000,1,2025-12-03,2025-12-04,"{""No se permiten visitas"",""Check-in después de las 3 PM"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},
64314,Salida con Amigos,78568,2025-01-26,6000,9,No disponible,54,,,,,,,,,,,"{""Asientos reclinables"",Comida,TV,Spa,Jacuzzi}",{},,{},Departamento en Manresa,Manresa,6000,2,,2025-08-23,{},José María Sarabia Amaya,+56 9 0896 4377,Relájate en un lugar tranquilo y acogedor,5,5,1,,,,{},
61764,Salida con Familia,78570,2025-04-14,,1,No disponible,18,,,,,,,,,,,"{Comida,Wifi,Balcón,Chimenea,TV}",,,{},Habitación en Cerdañola del Vallés,Cerdañola del Vallés,18000,4,2025-05-11,2025-05-14,{},Juan Carlos Ibarra Reynoso,,Relájate en un lugar tranquilo y acogedor,4,3,3,,,,{},
55864,Salida con Amigos,78580,2026-09-12,455000,5,No disponible,,,,,,,,,,,,"{TV,Baño,Piscina,Wifi,""Aire acondicionado""}",{},,{},Choice Hotels International,,91000,3,2026-10-01,2026-10-02,"{""Check-in después de las 3 PM"",""No se permiten visitas"",""No se permiten mascotas""}",,,,,,,,,,{},
55864,Salida con Amigos,78582,2026-07-24,2280000,5,No disponible,,,,,,,,,,,,"{TV,""Asientos reclinables"",""Servicio a la habitación"",Gimnasio,Agua}",{},,{},Hyatt Hotels Corporation,El Prat de LLobregat,,29,2026-10-04,2026-10-08,,,,,,,,,,,{},
,Vacaciones,78587,2025-06-21,515000,1,No disponible,103,,,,,,,,,,,"{""Vista al mar"",""Servicio a la habitación"",Wifi,Baño,Jacuzzi}",{},,{},Suite en Gecho,,,3,2025-08-15,2025-08-20,{},Gustavo Alarcón Chavarría,+56 9 0258 6983,Experimenta el lujo y la comodidad en este alojamiento,5,5,4,,,,{},
66568,Salida con Amigos,78598,2025-02-26,520000,2,No disponible,-104,,,,,,,,,,,"{""Aire acondicionado"",""Asientos reclinables"",Wifi,TV,""Servicio a la habitación""}",{},,{},Kimpton Hotels & Restaurants,,52000,1,2025-02-28,2025-03-05,"{""No se permiten visitas"",""No se permiten mascotas"",""Check-in después de las 3 PM""}",,,,,,,,,,{},
58286,,78623,2025-03-01,72000,5,No disponible,360,,,,,,,,,,,"{Gimnasio,""Aire acondicionado"",Baño,Spa,""Servicio a la habitación""}",{},,{},Estudio en El Prat de LLobregat,El Prat de LLobregat,,4,2026-03-14,2026-03-15,{},Débora Mota Carrasquillo,+56 9 2519 0784,Disfruta de una estadía en el corazón de la ciudad,2,2,3,,,,{},
61637,Cena de Trabajo,78626,2025-01-05,1050000,4,No disponible,600,,,,,,,,,,,"{Jacuzzi,Piscina,Baño,""Vista al mar"",Wifi}",{},,{},Villa en Orense,Orense,-150000,3,2026-02-02,2026-02-09,{},Sr. Alejandro Montaño Balderas,+56 9 4640 7218,Experimenta el lujo y la comodidad en este alojamiento,5,6,4,,,,{},
61637,Cena de Trabajo,78634,2025-06-01,291000,,No disponible,388,,,,,,,,,,,"{TV,Jacuzzi,Piscina,Baño,Gimnasio}",{},,{},Suite en Benidorm,,97000,3,2026-02-09,2026-02-12,{},Lorena Tirado Granados,+56 2 2799 5379,Disfruta de una estadía en el corazón de la ciudad,5,5,2,,,,,
63964,Aniversario,78649,2025-02-18,475000,7,No disponible,,,,,,,,,,,,"{Spa,Jacuzzi,TV,Chimenea,""Asientos reclinables""}",{},,{},Departamento en Lorca,Lorca,95000,2,2026-01-03,2026-01-08,{},Tomás Delgado Colón,+56 9 2152 3047,Relájate en un lugar tranquilo y acogedor,4,4,2,,,,{},
63964,Aniversario,78655,2025-12-28,,7,No disponible,735,,,,,,,,,,,"{""Aire acondicionado"",""Servicio a la habitación"",Jacuzzi,Gimnasio,Wifi}",{},,{},Estudio en La Coruña,La Coruña,105000,1,2026-01-10,2026-01-17,{},Sra. Juan Carvajal Acevedo,+56 9 8489 5177,,6,4,4,,,,{},
