agenda_id,etiqueta,id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama
57773,Salida con Amigos,78425,2025-01-28,5208000,7,No disponible,-868,,,,,,,,,,,"{""Asientos reclinables"",""Servicio a la habitación"",TV,Baño,Piscina}",{},,{},Six Senses Hotels Resorts Spas,Motril,124000,5,2026-10-29,2026-11-04,"{""No se permite fumar"",""No se permiten mascotas"",""No se permiten fiestas""}",,,,,,,,,,{},
58310,Salida con Familia,78432,2025-06-29,-1974000,6,No disponible,282,,,,,,,,,,,"{Comida,""Servicio a la habitación"",""Asientos reclinables"",Wifi,Piscina}",{},,{},Six Senses Hotels Resorts Spas,Toledo,47000,4,2025-08-11,2025-08-18,"{""No se permiten mascotas"",""Check-out antes de las 11 AM"",""Silencio después de las 10 PM""}",,,,,,,,,,{},
59970,Cena de Trabajo,78476,2025-12-23,-1056000,2,No disponible,176,,,,,,,,,,,"{TV,""Asientos reclinables"",Piscina,Baño,Agua}",{},,{},The Ritz-Carlton,Irún,88000,2,2026-07-16,2026-07-22,"{""No se permiten fiestas"",""Check-in después de las 3 PM"",""No se permite fumar""}",,,,,,,,,,,
60934,Vacaciones,78483,,1251000,9,No disponible,1251,,,,,,,,,,,"{Comida,""Servicio a la habitación"",Baño,Gimnasio,TV}",{},,{},NH Hotel Group,Sevilla,,1,2025-11-25,2025-11-26,"{""No se permiten fiestas"",""No se permite fumar"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},
60218,Aniversario,78512,,1935000,3,No disponible,-387,,,,,,,,,,,"{Calefacción,Agua,Spa,""Aire acondicionado"",Comida}",{},,{},Belmond,Irún,129000,1,2026-08-07,2026-08-12,"{""No se permiten mascotas"",""Check-in después de las 3 PM"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},
62297,Aniversario,78521,2025-01-14,274000,1,No disponible,137,,,,,,,,,,,"{Calefacción,Baño,""Asientos reclinables"",Wifi,Comida}",{},,{},,Torremolinos,137000,1,2025-02-27,2025-03-01,"{""No se permiten mascotas"",""Check-in después de las 3 PM"",""No se permiten fiestas""}",,,,,,,,,,{},
61892,Salida con Familia,78531,,-447000,1,No disponible,149,,,,,,,,,,,,{},,{},Belmond,Roquetas de Mar,149000,1,2025-07-07,2025-07-10,"{""No se permiten mascotas"",""No se permiten visitas"",""No se permite fumar""}",,,,,,,,,,{},
59050,Aniversario,78545,2025-03-14,5480000,8,No disponible,1096,,,,,,,,,,,"{""Servicio a la habitación"",""Aire acondicionado"",Piscina,Wifi,TV}",{},,{},,El Ejido,137000,5,2025-07-05,2025-07-10,"{""No se permiten mascotas"",""Silencio después de las 10 PM"",""No se permiten visitas""}",,,,,,,,,,{},
57365,Cena de Trabajo,78552,2025-04-25,4920000,8,No disponible,984,,,,,,,,,,,"{TV,Wifi,Calefacción,Spa,""Asientos reclinables""}",{},,{},Drury Hotels,Lugo,123000,1,,2025-06-09,"{""Check-in después de las 3 PM"",""Silencio después de las 10 PM"",""No se permiten mascotas""}",,,,,,,,,,{},
65378,Salida con Familia,78561,2025-04-24,584000,8,No disponible,584,,,,,,,,,,,"{Calefacción,Gimnasio,Piscina,""Aire acondicionado"",Spa}",{},,{},AccorHotels,,73000,1,2025-12-03,2025-12-04,"{""No se permiten visitas"",""Check-in después de las 3 PM"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},
