agenda_id,etiqueta,id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama
57773,,78430,2026-03-20,532000,7,No disponible,-532,,,,,,,Secret Escapes,,,,{},,,{},,Motril,,,,,{},,,Relájate en la playa,,,,Tour,6,76000,{},2026-11-03
58310,Salida con Familia,78434,2025-02-02,,,No disponible,564,,,,45,,,Abercrombie & Kent,,,,,{},,{},,Toledo,,,,,{},,,Relájate en la playa,,,,Aventura,5,94000,,2025-08-13
65218,Salida con Familia,78446,2025-01-24,,4,No disponible,320,,,,33,,,EF Tours,,,,{},{},,{},,Torrevieja,,,,,{},,,Conoce la historia de la ciudad,,,,Visita,7,80000,{},2026-04-19
56422,Salida con Amigos,78449,2025-01-17,272000,8,No disponible,272,,,,31,,,Intrepid Travel,,,,{},{},,{},,Badajoz,,,,,{},,,,,,,Tour,6,,,2026-02-26
56422,Salida con Amigos,78458,2026-02-08,-432000,8,No disponible,432,,,,31,,,Travel Leaders Group,,,,{},{},,{},,Huelva,,,,,{},,,Relájate en la playa,,,,Tour,3,54000,{},2026-03-08
58036,Vacaciones,78497,2025-03-05,261000,,No disponible,261,,,,37,,,Klook,,,,{},{},,{},,Torrelavega,,,,,{},,,Relájate en la playa,,,,Visita,3,29000,{},2026-03-25
58690,Salida con Amigos,78464,2025-03-06,34000,2,No disponible,-34,,,,48,,,Apple Leisure Group,,,,{},{},,{},,Murcia,,,,,{},,,Conoce la historia de la ciudad,,,,Aventura,5,17000,{},2026-03-05
59970,Cena de Trabajo,78477,2025-02-07,162000,,No disponible,162,,,,35,,,Abercrombie & Kent,,,,{},{},,{},,Irún,,,,,{},,,Conoce la historia de la ciudad,,,,Visita,5,,{},2026-07-17
,Cena de Trabajo,78478,2025-10-04,,2,No disponible,60,,,,4,,,Luxury Escapes,,,,{},{},,{},,Irún,,,,,{},,,Disfruta de un día en la naturaleza,,,,Paseo,,30000,{},2026-07-18
59970,Cena de Trabajo,78479,2025-07-05,82000,2,No disponible,-82,,,,34,,,Insight Vacations,,,,{},{},,{},,Irún,,,,,{},,,Aventúrate en la montaña,,,,Paseo,,41000,{},2026-07-19
58036,Vacaciones,78499,2026-01-14,747000,9,No disponible,-747,,,,20,,,Luxury Escapes,,,,{},{},,{},,Torrelavega,,,,,{},,,Aventúrate en la montaña,,,,Paseo,5,83000,{},2026-03-27
,Aniversario,78504,2025-03-13,441000,9,No disponible,441,,,,33,,,Contiki,,,,{},{},,{},,,,,,,{},,,Disfruta de un día en la naturaleza,,,,Aventura,1,49000,{},2025-05-20
57752,Aniversario,78505,2025-02-01,135000,9,No disponible,135,,,,2,,,Kuoni,,,,{},{},,{},,Las Palmas de Gran Canaria,,,,,{},,,Relájate en la playa,,,,Visita,5,15000,{},
57752,Aniversario,78506,2025-02-21,711000,9,No disponible,,,,,19,,,Kuoni,,,,{},{},,,,Las Palmas de Gran Canaria,,,,,{},,,Disfruta de un día en la naturaleza,,,,Paseo,7,79000,{},2025-05-22
,Aniversario,78513,2026-02-25,45000,3,No disponible,,,,,32,,,Exodus Travels,,,,{},{},,{},,Irún,,,,,,,,Disfruta de un día en la naturaleza,,,,Paseo,5,15000,{},2026-08-08
60218,Aniversario,78515,2025-08-26,-195000,3,No disponible,195,,,,40,,,,,,,{},{},,{},,Irún,,,,,{},,,Descubre la gastronomía local,,,,Paseo,,,{},2026-08-10
60218,Aniversario,78516,2026-05-22,66000,3,No disponible,66,,,,,,,Exodus Travels,,,,{},{},,{},,Irún,,,,,{},,,Relájate en la playa,,,,Aventura,5,-22000,{},2026-08-11
61892,Salida con Familia,78537,2025-04-14,61000,,No disponible,61,,,,49,,,National Geographic Expeditions,,,,{},{},,{},,Palencia,,,,,{},,,Descubre la gastronomía local,,,,Visita,6,61000,{},2025-07-12
,Salida con Familia,78539,2025-03-16,87000,1,No disponible,87,,,,25,,,Expedia Group,,,,{},{},,,,Palencia,,,,,{},,,Aventúrate en la montaña,,,,Tour,6,87000,,
61892,Salida con Familia,78540,2025-05-23,82000,,No disponible,82,,,,25,,,Klook,,,,{},{},,{},,Palencia,,,,,{},,,Conoce la historia de la ciudad,,,,Paseo,2,,{},
61892,Salida con Familia,78541,2025-02-04,48000,1,No disponible,48,,,,17,,,,,,,{},{},,,,Palencia,,,,,{},,,Aventúrate en la montaña,,,,Tour,5,48000,,
57365,Cena de Trabajo,78553,2025-03-25,-80000,8,No disponible,80,,,,14,,,Flight Centre Travel Group,,,,{},{},,{},,Lugo,,,,,{},,,,,,,Tour,5,10000,{},2025-06-05
57365,Cena de Trabajo,78555,2025-02-09,560000,8,No disponible,560,,,,9,,,Flight Centre Travel Group,,,,{},{},,,,Lugo,,,,,{},,,,,,,Excursión,,70000,{},
57365,Cena de Trabajo,78556,2025-04-15,744000,8,No disponible,744,,,,,,,Apple Leisure Group,,,,{},{},,{},,Lugo,,,,,{},,,Disfruta de un día en la naturaleza,,,,Visita,4,,{},2025-06-08
,Salida con Amigos,78583,2026-08-05,85000,,No disponible,85,,,,33,,,Secret Escapes,,,,{},{},,{},,El Prat de LLobregat,,,,,{},,,Aventúrate en la montaña,,,,Excursión,4,17000,{},2026-10-05
,Salida con Amigos,78585,,115000,5,No disponible,115,,,,,,,National Geographic Expeditions,,,,,{},,{},,El Prat de LLobregat,,,,,{},,,Relájate en la playa,,,,Aventura,1,23000,{},2026-10-07
56632,Vacaciones,78589,2025-04-15,63000,1,No disponible,,,,,50,,,Tripadvisor,,,,{},{},,{},,Gecho,,,,,{},,,Aventúrate en la montaña,,,,Tour,7,63000,{},2025-08-17
56632,Vacaciones,78590,2025-03-29,59000,,No disponible,59,,,,35,,,Hays Travel,,,,{},,,{},,Gecho,,,,,{},,,Descubre la gastronomía local,,,,Visita,6,59000,{},2025-08-18
66568,Salida con Amigos,78600,2025-01-26,88000,,No disponible,88,,,,33,,,Abercrombie & Kent,,,,{},{},,{},,Sanlúcar de Barrameda,,,,,{},,,Conoce la historia de la ciudad,,,,Tour,3,44000,{},2025-03-02
66568,Salida con Amigos,78601,2025-02-17,98000,2,No disponible,-98,,,,22,,,Hays Travel,,,,{},{},,{},,Sanlúcar de Barrameda,,,,,{},,,Conoce la historia de la ciudad,,,,Tour,7,49000,{},2025-03-03
66568,Salida con Amigos,78602,2025-02-20,,2,No disponible,48,,,,2,,,,,,,{},{},,{},,Sanlúcar de Barrameda,,,,,{},,,Disfruta de un día en la naturaleza,,,,Tour,5,24000,{},2025-03-04
58541,Salida con Amigos,78612,,570000,6,No disponible,570,,,,19,,,BCD Travel,,,,{},{},,{},,,,,,,{},,,Descubre la gastronomía local,,,,Aventura,5,95000,{},2026-08-17
58286,Vacaciones,78616,2025-03-21,,5,No disponible,495,,,,27,,,Apple Leisure Group,,,,,{},,{},,Torremolinos,,,,,{},,,Disfruta de un día en la naturaleza,,,,Visita,4,99000,{},2026-03-08
58286,Vacaciones,78617,2025-08-04,435000,5,No disponible,435,,,,21,,,Flight Centre Travel Group,,,,{},{},,{},,,,,,,{},,,Aventúrate en la montaña,,,,Visita,,87000,{},2026-03-09
58286,Vacaciones,78618,2025-06-20,300000,5,No disponible,300,,,,21,,,Expedia Group,,,,{},{},,{},,Torremolinos,,,,,{},,,Disfruta de un día en la naturaleza,,,,Excursión,5,-60000,{},2026-03-10
61637,Cena de Trabajo,78628,2025-04-01,,4,No disponible,164,,,,42,,,Contiki,,,,{},{},,{},,Orense,,,,,{},,,Relájate en la playa,,,,Excursión,7,41000,{},2026-02-04
61637,Cena de Trabajo,78629,,-260000,4,No disponible,260,,,,29,,,Klook,,,,{},{},,{},,Orense,,,,,{},,,Descubre la gastronomía local,,,,Visita,3,65000,{},
64235,Vacaciones,78640,2025-01-13,156000,3,,-156,,,,40,,,Viator,,,,{},{},,{},,León,,,,,,,,,,,,Tour,7,52000,{},2025-03-29
64235,,78644,,153000,3,No disponible,153,,,,40,,,Tripadvisor,,,,{},{},,{},,Torrelavega,,,,,{},,,Disfruta de un día en la naturaleza,,,,Aventura,6,51000,{},2025-04-02
63964,Aniversario,78653,2025-10-24,700000,7,No disponible,700,,,,,,,Thomas Cook,,,,{},{},,{},,Lorca,,,,,{},,,Conoce la historia de la ciudad,,,,Paseo,5,-100000,{},2026-01-07
63964,,78657,2025-06-05,567000,7,No disponible,,,,,46,,,Secret Escapes,,,,{},{},,{},,La Coruña,,,,,{},,,Aventúrate en la montaña,,,,Tour,3,81000,{},2026-01-12
63964,Aniversario,78660,2025-04-27,553000,7,No disponible,553,,,,16,,,Civitatis,,,,{},,,{},,La Coruña,,,,,{},,,Relájate en la playa,,,,Paseo,2,79000,{},
,Aniversario,78661,2025-09-18,-532000,7,No disponible,532,,,,24,,,Secret Escapes,,,,,{},,{},,La Coruña,,,,,{},,,Disfruta de un día en la naturaleza,,,,Excursión,2,76000,{},2026-01-16
63154,Cena de Trabajo,79752,2025-11-07,135000,5,No disponible,135,,,,13,,,Trafalgar,,,,{},{},,{},,Gecho,,,,,{},,,,,,,Tour,6,27000,{},
61565,Salida con Amigos,78675,2025-02-09,236000,4,No disponible,236,,,,28,,,,,,,{},{},,{},,Algeciras,,,,,{},,,Descubre la gastronomía local,,,,Tour,3,59000,{},2025-03-20
61565,Salida con Amigos,78678,2025-01-15,228000,4,No disponible,228,,,,41,,,Hays Travel,,,,{},{},,{},,,,,,,{},,,Relájate en la playa,,,,Excursión,2,57000,{},2025-03-23
65501,Aniversario,78683,2025-08-10,400000,5,No disponible,400,,,,44,,,American Express Global Business Travel,,,,{},{},,{},,Inca,,,,,{},,,Relájate en la playa,,,,Paseo,7,,{},2025-08-26
65501,Aniversario,78687,2025-06-12,90000,,No disponible,,,,,28,,,Hays Travel,,,,{},{},,{},,El Ejido,,,,,,,,Disfruta de un día en la naturaleza,,,,Paseo,2,18000,{},2025-08-29
65501,Aniversario,78688,2025-01-20,,5,No disponible,120,,,,6,,,Intrepid Travel,,,,{},{},,{},,El Ejido,,,,,{},,,Relájate en la playa,,,,Tour,1,24000,{},2025-08-30
57499,Aniversario,78692,2026-07-16,95000,1,No disponible,95,,,,10,,,EF Tours,,,,{},,,{},,Algeciras,,,,,{},,,Relájate en la playa,,,,Paseo,5,,{},2026-07-23
57499,Aniversario,78693,2025-10-24,27000,1,No disponible,27,,,,2,,,American Express Global Business Travel,,,,{},{},,,,Algeciras,,,,,{},,,Relájate en la playa,,,,Visita,2,27000,{},
57499,Aniversario,78697,2026-03-12,,1,,38,,,,5,,,GetYourGuide,,,,{},{},,{},,La Línea de la Concepción,,,,,{},,,Relájate en la playa,,,,Excursión,5,38000,{},2026-07-28
57499,Aniversario,78700,2025-02-23,100000,1,No disponible,-100,,,,40,,,National Geographic Expeditions,,,,{},{},,{},,La Línea de la Concepción,,,,,{},,,Relájate en la playa,,,,Aventura,1,100000,{},2026-07-31
57499,Aniversario,78702,2026-06-15,66000,1,No disponible,,,,,16,,,Kuoni,,,,{},{},,{},,La Línea de la Concepción,,,,,,,,Aventúrate en la montaña,,,,Tour,5,66000,{},2026-08-02
,Salida con Amigos,78710,2025-01-10,395000,5,No disponible,395,,,,38,,,National Geographic Expeditions,,,,{},{},,{},,,,,,,{},,,Conoce la historia de la ciudad,,,,Excursión,4,79000,{},2026-05-15
59495,Salida con Amigos,78714,2025-04-13,95000,5,No disponible,,,,,5,,,GetYourGuide,,,,{},{},,{},,Benalmádena,,,,,{},,,Descubre la gastronomía local,,,,Visita,,19000,{},2026-05-20
59495,Salida con Amigos,78715,2025-08-04,460000,,No disponible,460,,,,8,,,EF Tours,,,,{},{},,{},,Benalmádena,,,,,{},,,Relájate en la playa,,,,Visita,2,92000,{},2026-05-21
61890,Cena de Trabajo,78722,2026-07-30,195000,5,No disponible,-195,,,,,,,Intrepid Travel,,,,,{},,{},,Santa Coloma de Gramanet,,,,,{},,,Descubre la gastronomía local,,,,Paseo,7,39000,{},2026-09-26
65694,Cena de Trabajo,78738,2025-02-07,164000,2,No disponible,,,,,17,,,Contiki,,,,{},{},,{},,Parla,,,,,{},,,Relájate en la playa,,,,Excursión,4,82000,{},2026-02-01
65694,Cena de Trabajo,78739,2026-01-05,70000,2,No disponible,70,,,,34,,,,,,,{},{},,{},,Parla,,,,,{},,,Relájate en la playa,,,,Paseo,5,35000,{},2026-02-02
65694,Cena de Trabajo,78752,2025-04-10,18000,,,18,,,,19,,,G Adventures,,,,{},{},,{},,Jaén,,,,,{},,,Conoce la historia de la ciudad,,,,Aventura,5,9000,{},2026-02-17
64251,Vacaciones,78765,,126000,3,No disponible,126,,,,9,,,Expedia Group,,,,{},{},,{},,Ciudad Real,,,,,{},,,Relájate en la playa,,,,Visita,3,42000,{},2026-10-18
64251,Vacaciones,78766,2025-07-09,234000,3,No disponible,234,,,,27,,,Travel Leaders Group,,,,{},{},,{},,Ciudad Real,,,,,{},,,Descubre la gastronomía local,,,,Tour,1,78000,{},
64251,Vacaciones,78771,2025-08-28,153000,3,No disponible,,,,,43,,,Expedia Group,,,,{},{},,{},,Baracaldo,,,,,{},,,Relájate en la playa,,,,Excursión,7,51000,{},2026-10-23
64517,Cena de Trabajo,78777,2025-08-25,270000,6,No disponible,270,,,,16,,,TUI Group,,,,{},{},,{},,,,,,,{},,,Aventúrate en la montaña,,,,Excursión,5,45000,{},2026-04-09
64517,Cena de Trabajo,78780,2025-03-23,396000,6,No disponible,396,,,,23,,,,,,,{},{},,{},,Reus,,,,,{},,,Disfruta de un día en la naturaleza,,,,Paseo,5,66000,{},2026-04-13
64517,Cena de Trabajo,78782,2025-12-17,,6,No disponible,444,,,,40,,,Kuoni,,,,{},{},,{},,Reus,,,,,{},,,Descubre la gastronomía local,,,,Excursión,2,74000,,2026-04-15
63963,Aniversario,78789,2026-05-14,184000,,No disponible,184,,,,11,,,Kuoni,,,,{},{},,{},,Torremolinos,,,,,{},,,Descubre la gastronomía local,,,,Visita,1,23000,{},2026-06-10
63963,Aniversario,78791,2025-04-29,,8,No disponible,456,,,,43,,,Secret Escapes,,,,{},{},,{},,Torremolinos,,,,,{},,,Disfruta de un día en la naturaleza,,,,Paseo,2,57000,{},2026-06-12
