id_panorama,nombre,edad
80679,Pilar Llamas Franco,45
82762,Julia Armas Paz,16
91686,Sara Roque Cruz,56
,Lola Baca Leiva,75
102829,Juana Muro Puga,96
102879,Sara Raya Vaca,48
103826,Luz Gil Dueñas,-16
104988,,47
106989,Juan Tello Muro,-11
111979,Ana Arroyo Loya,67
113226,Ana Vela Brito,18
116887,Luz Avilés Paz,41
127412,Lola Ybarra Gil,38
128001,David Olivárez Quezada,65
129082,Elsa Gil Gaona,31
132989,Gonzalo Paz Ledesma,7
137584,Luis Viera Mora,99
142435,Sta. Eva Bustos Olivo,40
78416,Juan Pérez,59
78416,Sonia Rentería Reynoso,11
78416,Cecilia Delatorre Girón,56
78416,Patricia Galván Abeyta,22
78416,Sara Alfaro Vaca,68
78416,Sra. Patricio Lucio Sotelo,27
78416,,34
78416,Sra. Lorenzo Amaya Quezada,57
78416,Sra. Adriana Cazares Moya,77
,Tomás Nazario Haro,24
78417,Ramiro Ortega Hernández,
78427,Ramiro Hinojosa Araña,
,Florencia Serna Morales,27
78429,Sra. Catalina Berríos Martínez,17
78429,Fernando Feliciano Alva,85
78429,Sra. Hernán Carrillo Guillen,102
78429,Lorena Solano Saucedo,48
78429,Salvador Deleón Escobar,62
78429,Sr. Pilar Espinosa Briseño,52
78429,Luisa Ortega Mena,55
78430,Federico Valencia Treviño,95
78430,Alberto Gallardo Barela,89
78430,María Elena Casanova Águilar,78
78430,Jerónimo Duran Delatorre,45
78430,Leticia Rosales Gil,49
78430,Clemente Zepeda Nieto,
,María Teresa Arce Estrada,110
78433,,28
78433,Mercedes Alonzo Hinojosa,
78434,Débora Carrero Vallejo,7
78434,José Luis Cadena Salas,-28
,Luz Vargas Maldonado,19
78434,Magdalena Cabán Medrano,103
78434,Rafael Villaseñor Saiz,91
78434,Claudia Cervantes Quesada,61
78434,José María Serna Chapa,17
,,47
,Jorge Arce Saldaña,109
78437,,68
78438,,104
78438,Germán Tapia Cabán,
78438,,
78438,Samuel Delgadillo Delagarza,-18
78443,,103
78443,,56
