nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
María del Carmen Velásquez Paredes,Maríaparedes646@outluc.com,7pBFv1iv4zd,,+56 2 2948 9493,10481144,0,,,,2
Amalia Torres Macías,amalia8518314@viajes.cl,,amalia5742883,+56 9 2320 7364,29209609,,Nocturno,Consalud,Part time,7
Javier Esquivel Pineda,,EfoLl0t3O5w3q,jaespi269,+56 9 7542 1937,13892845,,Diurno,Más vida,Full time,4
Gloria Castro Girón,Gloriagirón280@tourket.com,,glcagi501,+56 2 4706 4379,25658953,0,,,,2
María Eugenia Sosa Sisneros,maeusosi613@viajesanma.com,E3Kt56SlwwQQMrVN,maría3615408,+56 2 7181 0244,,396,,,,
,alicia4603247@outluc.com,,Aliciaportillo569,+56 9 6960 6562,26258786,0,,,,K
,maricarmen7666586@edubus.cal,NHcqrhrdKnKeL3z,maricarmen1891224,+56 2 9241 1198,8356729,15447,,,,5
Rafael Canales Tamayo,Rafaeltamayo937@outluc.com,,Rafaeltamayo631,+56 2 9848 0163,14291542,0,,,,1
César Alejandro Beltrán,céalbe602@outluc.com,,,+56 9 6507 6863,16378798,23868,,,,9
Mario Terán Ocasio,Marioocasio558@tourket.com,ow2XRdO8xQrvkTe,mario1581363,+56 9 9188 3122,,15988,,,,
Luis Miguel Arguello Ulibarri,Luisulibarri495@outluc.com,JeMxFC8fkq1mTe4,,+56 2 5805 7964,10145933,0,,,,0
Silvia Ayala Paredes,siaypa710@viajesanma.com,nfHIet8dE292,Silviaparedes473,+56 9 0288 4765,,4413,,,,
Adela Estévez Valadez,Adelavaladez917@viajes.cl,5ZEiEB18DVgg7,adesva669,+56 9 1658 2783,,,Diurno,Colmena,Part time,
Elena Puente Rascón,,RT8qvA2pt,Elenarascón584,+56 9 2903 1620,22030988,0,,,,6
Federico Segura Gonzales,Federicogonzales535@edubus.cal,Vjj6aFZDzV2dV,,+56 2 1541 6895,,5184,,,,
Timoteo Casas de Anda,timoteo7741506@viajes.cl,8aEsBCGEdq,ticadean651,+56 2 3950 7465,,,Nocturno,Banmédica,Part time,
Sra. Sancho Maya Rentería,Sra.rentería193@wass.com,xCxr0y0SN7,sra.1284367,,,0,,,,
