agenda_id,etiqueta,id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama
58310,Salida con Familia,78431,2025-04-29,792000,6,No disponible,792,srditobr888@viajes.cl,,,64,958,132000,HŽ (Croacia),2025-08-11,2025-08-11,,,{},,"{""Alcalá de Henares""}",,,,,,,{},,,,,,,,,,,
58310,Salida con Familia,78440,2025-01-15,732000,6,No disponible,732,jaime4680549@viajes.cl,El Prat de LLobregat,Parla,7,1369,-122000,VRZ (Croacia),2025-08-20,2025-08-20,,"{Calefacción,Comida,Baño}",{},,"{""Roquetas de Mar"",Málaga,Córdoba}",,,,,,,{},,,,,,,,,,{},
65218,Salida con Familia,78441,2026-02-07,560000,4,No disponible,560,sra.8471206@viajes.cl,Ponferrada,Torrevieja,82,,140000,Eurostar,2026-04-15,2026-04-15,,{},{},,"{Segovia,Logroño,""Alcalá de Guadaira"",""Dos Hermanas"",""Palma de Mallorca""}",,,,,,,{},,,,,,,,,,{},
64869,Salida con Familia,78467,2025-04-15,553000,7,No disponible,553,elpolo665@viajes.cl,Málaga,Gecho,40,,79000,Italo,2026-08-21,2026-08-21,,"{""Aire acondicionado"",TV,""Asientos reclinables""}",{},,"{Orihuela,León,Mijas,""Hospitalet de LLobregat""}",,,,,,,{},,,,,,,,,,{},
64869,Salida con Familia,78472,2026-06-21,784000,7,No disponible,784,stmaancaca776@viajes.cl,Gecho,,34,2335,112000,AVE,2026-08-25,2026-08-26,,"{TV,Calefacción,Wifi,Baño,""Aire acondicionado""}",,,"{""Alcalá de Guadaira"",Barcelona,Santander}",,,,,,,{},,,,,,,,,,,
57752,Aniversario,78500,2025-01-04,1557000,9,No disponible,1557,agvisa375@viajes.cl,Badajoz,Santa Coloma de Gramanet,46,1888,-173000,Trenitalia,2025-05-15,2025-05-16,,"{Comida,""Asientos reclinables"",TV,""Aire acondicionado""}",{},,{Valdemoro},,,,,,,{},,,,,,,,,,{},
57752,Aniversario,78509,2025-04-15,3996000,9,No disponible,3996,graciela4241218@viajes.cl,Las Palmas de Gran Canaria,Murcia,67,3629,444000,ZFBH (Bosnia y Herzegovina),2025-05-25,2025-05-27,,"{Calefacción,Comida,Baño,Agua,""Asientos reclinables"",Wifi,""Aire acondicionado""}",{},,"{""Mollet del Vallés""}",,,,,,,{},,,,,,,,,,{},
60218,Aniversario,78511,2026-06-23,339000,3,No disponible,339,jomaalma170@viajes.cl,Molina de Segura,,22,530,113000,AVE,2026-08-07,2026-08-07,,{},,,"{""Santa Lucía de Tirajana"",Zaragoza}",,,,,,,{},,,,,,,,,,{},
61892,Salida con Familia,78530,2025-02-22,302000,1,,302,elsa2245643@viajes.cl,Ciudad Real,Roquetas de Mar,22,3568,302000,SBB (Suiza),2025-07-05,2025-07-07,,"{Wifi,TV,Comida,""Asientos reclinables"",""Aire acondicionado"",Baño}",{},,"{""Talavera de la Reina"",Getafe,""Sanlúcar de Barrameda"",""Pozuelo de Alarcón"",Gecho}",,,,,,,{},,,,,,,,,,{},
61892,Salida con Familia,78534,2025-01-17,54000,1,No disponible,54,alraba458@viajes.cl,,,83,1045,54000,Deutsche Bahn (DB),2025-07-10,,,"{Agua,""Aire acondicionado"",Wifi}",{},,"{Salamanca,Oviedo,""Dos Hermanas"",Benalmádena}",,,,,,,,,,,,,,,,,{},
61892,Salida con Familia,78542,2025-05-31,144000,1,No disponible,144,mateo2584848@viajes.cl,Palencia,Santa Lucía de Tirajana,9,1400,144000,ŽSSK (Eslovaquia),2025-07-17,2025-07-17,,"{Baño,""Aire acondicionado"",Wifi}",{},,{Torremolinos},,,,,,,{},,,,,,,,,,{},
61439,Cena de Trabajo,78564,2025-01-15,2107000,7,No disponible,,arturo3897713@viajes.cl,Guadalajara,Zaragoza,50,,301000,DSB (Dinamarca),2025-02-25,2025-02-27,,"{Calefacción,Comida,Agua,""Aire acondicionado"",TV,Baño,Wifi}",{},,"{""Santiago de Compostela"",""Talavera de la Reina""}",,,,,,,{},,,,,,,,,,{},
64314,Salida con Amigos,78566,2025-05-24,828000,9,No disponible,828,isabel6224118@viajes.cl,Talavera de la Reina,Zamora,19,1299,92000,BDZ (Bulgaria),2025-08-20,2025-08-20,,,{},,{Almería},,,,,,,{},,,,,,,,,,{},
64314,Salida con Amigos,78567,2025-02-08,4167000,9,No disponible,4167,Armandocarranza316@viajes.cl,Zamora,,48,3976,463000,,2025-08-20,2025-08-22,,"{Wifi,Comida,Agua,Calefacción,""Asientos reclinables"",TV,Baño}",,,"{""La Línea de la Concepción""}",,,,,,,{},,,,,,,,,,{},
58541,Salida con Amigos,78603,2025-11-21,-588000,6,No disponible,588,ana1890804@viajes.cl,Telde,Viladecans,87,2380,98000,Nederlandse Sp,2026-08-06,2026-08-07,,"{Agua,Calefacción,""Aire acondicionado"",""Asientos reclinables"",Wifi}",{},,"{""Roquetas de Mar"",Badalona,Badajoz,Lugo,""Cornellá de Llobregat""}",,,,,,,{},,,,,,,,,,{},
58541,Salida con Amigos,78609,2025-09-23,1614000,,No disponible,1614,sra.7178466@viajes.cl,Viladecans,San Cristróbal de la Laguna,98,3579,269000,Deutsche Bahn (DB),2026-08-12,2026-08-14,,,{},,"{León,Cuenta,Madrid,Elda,""El Puerto de Santa María""}",,,,,,,,,,,,,,,,,{},
58541,Salida con Amigos,78610,2026-08-08,2952000,6,No disponible,2952,daniel7623906@viajes.cl,San Cristróbal de la Laguna,Móstoles,31,4155,,RZD (Rusia),2026-08-14,2026-08-16,,"{Wifi,Comida,Agua,""Asientos reclinables"",""Aire acondicionado"",Baño,Calefacción}",{},,"{Burgos,Badalona,Telde,Badajoz}",,,,,,,{},,,,,,,,,,{},
57135,Cena de Trabajo,78646,,1040000,5,No disponible,1040,srmacaes852@viajes.cl,Rubí,Cartagena,20,4171,208000,Nederlandse Sp,2026-04-15,2026-04-17,,"{Comida,Agua,TV,Calefacción,Wifi,""Asientos reclinables"",""Aire acondicionado""}",{},,"{Logroño,""Jerez de la Frontera"",Manresa,Cáceres,Cartagena}",,,,,,,{},,,,,,,,,,{},
57135,Cena de Trabajo,78647,2026-04-11,-710000,5,No disponible,710,Marcosmadera742@viajes.cl,Cartagena,,12,135,142000,RZD (Rusia),2026-04-17,2026-04-17,,{},{},,"{""Torrejón de Ardoz"",Pontevedra,""Palma de Mallorca""}",,,,,,,{},,,,,,,,,,{},
57499,Aniversario,78690,2026-01-16,,1,No disponible,118,Alejandraadame618@viajes.cl,Salamanca,Algeciras,37,347,118000,,2026-07-22,2026-07-22,,{},{},,"{Santander,Pamplona}",,,,,,,{},,,,,,,,,,{},
59495,Salida con Amigos,78712,2026-01-08,2130000,5,No disponible,2130,lodope981@viajes.cl,,Benalmádena,16,3783,,VR (Finlandia),2026-05-17,2026-05-19,,"{TV,Baño,""Asientos reclinables"",""Aire acondicionado"",Comida,Wifi,Agua}",{},,"{León,Salamanca}",,,,,,,{},,,,,,,,,,{},
61890,Cena de Trabajo,78718,2025-07-30,605000,5,No disponible,605,sta.9052328@viajes.cl,Gandía,Santa Coloma de Gramanet,58,1143,121000,NS International,2026-09-23,2026-09-23,,"{Agua,""Aire acondicionado"",Wifi}",{},,"{Córdoba,Baracaldo,""La Línea de la Concepción"",Mijas,""Chiclana de la Frontera""}",,,,,,,{},,,,,,,,,,{},
65694,Cena de Trabajo,78736,,226000,2,No disponible,226,Carlosloera513@viajes.cl,Torremolinos,Parla,46,1856,113000,VR (Finlandia),2026-01-30,2026-01-31,,"{Comida,""Asientos reclinables"",TV,Agua}",{},,"{Valencia,Segovia,Coslada,Ávila}",,,,,,,{},,,,,,,,,,{},
65694,Cena de Trabajo,78748,2025-12-25,768000,2,,768,Gonzalocervántez728@viajes.cl,Murcia,Jaén,,3388,-384000,ŽFBH (Bosnia y Herzegovina),2026-02-12,2026-02-14,,"{Baño,""Asientos reclinables"",""Aire acondicionado"",Wifi,Calefacción,TV}",{},,"{Manresa,Salamanca,""La Coruña"",Lérida}",,,,,,,{},,,,,,,,,,{},
61169,Salida con Familia,78757,2025-02-01,348000,2,No disponible,348,Silviasantacruz103@viajes.cl,Palma de Mallorca,,62,2558,174000,,2026-06-09,2026-06-10,,"{Agua,TV,Baño,Wifi,""Aire acondicionado""}",{},,{Pontevedra},,,,,,,,,,,,,,,,,{},
64517,Cena de Trabajo,78778,2026-01-10,1104000,6,No disponible,-1104,elsa5735817@viajes.cl,Madrid,Reus,,3606,184000,HŽ (Croacia),2026-04-10,2026-04-12,,,{},,{Jaén},,,,,,,{},,,,,,,,,,{},
65524,Aniversario,78823,2025-02-23,1520000,10,No disponible,-1520,Tomásvilla256@viajes.cl,Córdoba,Pozuelo de Alarcón,94,423,152000,CD (República Checa),2026-11-20,2026-11-20,,{},{},,"{Benidorm,Motril,Orense,Mataró,Rubí}",,,,,,,{},,,,,,,,,,{},
65524,Aniversario,78824,2026-09-06,1310000,10,No disponible,,srigmoad631@viajes.cl,Pozuelo de Alarcón,Castellón de la Plana,72,1406,131000,Thalys,2026-11-20,2026-11-20,,"{""Asientos reclinables"",Comida,Calefacción}",,,"{Orense,Rubí,Orihuela,Estepona}",,,,,,,{},,,,,,,,,,{},
