correo,puntos,razon_descarte
Maríaparedes646@outluc.com,0,No es una persona válida o correo inválido
amalia8518314@viajes.cl,,No es una persona válida o correo inválido
,,No es una persona válida o correo inválido
Gloriagirón280@tourket.com,0,No es una persona válida o correo inválido
maeusosi613@viajesanma.com,396,No es una persona válida o correo inválido
alicia4603247@outluc.com,0,No es una persona válida o correo inválido
maricarmen7666586@edubus.cal,15447,No es una persona válida o correo inválido
Rafaeltamayo937@outluc.com,0,No es una persona válida o correo inválido
céalbe602@outluc.com,23868,No es una persona válida o correo inválido
Marioocasio558@tourket.com,15988,No es una persona válida o correo inválido
Luisulibarri495@outluc.com,0,No es una persona válida o correo inválido
siaypa710@viajesanma.com,4413,No es una persona válida o correo inválido
Adelavaladez917@viajes.cl,,No es una persona válida o correo inválido
,0,No es una persona válida o correo inválido
Federicogonzales535@edubus.cal,5184,No es una persona válida o correo inválido
timoteo7741506@viajes.cl,,No es una persona válida o correo inválido
Sra.rentería193@wass.com,0,No es una persona válida o correo inválido
roberto6254109@viajes.cl,,No es una persona válida o correo inválido
sra.4187466@outluc.com,0,No es una persona válida o correo inválido
starlovi445@viajesanma.com,6846,No es una persona válida o correo inválido
,16003,No es una persona válida o correo inválido
,9800,No es una persona válida o correo inválido
,0,No es una persona válida o correo inválido
clcubr185@tourket.com,0,No es una persona válida o correo inválido
,,No es una persona válida o correo inválido
,,No es una persona válida o correo inválido
sacope302@edubus.cal,-706,No es una persona válida o correo inválido
srraquar307@viajesanma.com,0,No es una persona válida o correo inválido
sr.4154206@viajes.cl,,No es una persona válida o correo inválido
,0,No es una persona válida o correo inválido
ana8383232@tourket.com,22804,No es una persona válida o correo inválido
,3773,No es una persona válida o correo inválido
lumoca977@wass.com,1269,No es una persona válida o correo inválido
,6378,No es una persona válida o correo inválido
Ángelaalba718@viajesanma.com,3164,No es una persona válida o correo inválido
,,No es una persona válida o correo inválido
Florenciamenéndez180@marmol.com,4994,No es una persona válida o correo inválido
esteban1628932@outluc.com,848,No es una persona válida o correo inválido
raquel6455489@edubus.cal,4224,No es una persona válida o correo inválido
stvicaro967@viajes.cl,,No es una persona válida o correo inválido
leonor2290253@marmol.com,8712,No es una persona válida o correo inválido
,20573,No es una persona válida o correo inválido
sra.1334886@marmol.com,12226,No es una persona válida o correo inválido
graciela726552@outluc.com,0,No es una persona válida o correo inválido
reina1002348@wass.com,7333,No es una persona válida o correo inválido
Patriciaadame600@viajes.cl,,No es una persona válida o correo inválido
Lucasfernández994@wass.com,0,No es una persona válida o correo inválido
ósheza630@viajes.cl,,No es una persona válida o correo inválido
,2187,No es una persona válida o correo inválido
,0,No es una persona válida o correo inválido
